Using GPU for training.
Epoch 0, Score 0.0000, Loss 279.1931, Time 2.3910
Epoch 1, Score 2.0000, Loss 1635.6333, Time 2.7715
Epoch 2, Score 2.0000, Loss 2343.4099, Time 2.8863
Epoch 3, Score 4.0000, Loss 2003.0485, Time 3.0466
Epoch 4, Score 2.0000, Loss 1828.9976, Time 3.1732
Epoch 5, Score 6.0000, Loss 1890.8540, Time 3.3660
Epoch 6, Score 1.0000, Loss 1901.9821, Time 3.4478
Epoch 7, Score 4.0000, Loss 1939.0444, Time 3.5824
Epoch 8, Score 0.0000, Loss 2029.9052, Time 3.6815
Epoch 9, Score 4.0000, Loss 2011.8823, Time 3.8973
Epoch 10, Score 5.0000, Loss 2008.9319, Time 4.0678
Epoch 11, Score 1.0000, Loss 2025.7690, Time 4.1484
Epoch 12, Score 5.0000, Loss 2014.8906, Time 4.2929
Epoch 13, Score 9.0000, Loss 2019.4368, Time 4.4309
Epoch 14, Score 5.0000, Loss 1985.1968, Time 4.6172
Epoch 15, Score 5.0000, Loss 1945.6295, Time 4.7196
Epoch 16, Score 7.0000, Loss 1958.6488, Time 4.8925
Epoch 17, Score 5.0000, Loss 1917.8101, Time 5.1836
Epoch 18, Score 5.0000, Loss 1909.1740, Time 5.2093
Epoch 19, Score 6.0000, Loss 1931.3057, Time 5.3326
Epoch 20, Score 0.0000, Loss 1879.8516, Time 5.5084
Epoch 21, Score 2.0000, Loss 1884.8442, Time 5.5982
Epoch 22, Score 4.0000, Loss 1836.3461, Time 5.8509
Epoch 23, Score 6.0000, Loss 1826.7253, Time 5.9392
Epoch 24, Score 4.0000, Loss 1771.2059, Time 6.0467
Epoch 25, Score 2.0000, Loss 1798.4926, Time 6.1956
Epoch 26, Score 2.0000, Loss 1715.6964, Time 6.3364
Epoch 27, Score 1.0000, Loss 1772.2759, Time 6.4581
Epoch 28, Score 5.0000, Loss 1746.9962, Time 6.5771
Epoch 29, Score 0.0000, Loss 1743.3137, Time 6.7533
Epoch 30, Score 0.0000, Loss 1730.2496, Time 6.8872
Epoch 31, Score 3.0000, Loss 1717.5016, Time 7.6204
Epoch 32, Score 5.0000, Loss 1716.6503, Time 7.3136
Epoch 33, Score 5.0000, Loss 1701.8599, Time 7.3465
Epoch 34, Score 3.0000, Loss 1666.6296, Time 7.4262
Epoch 35, Score 1.0000, Loss 1648.0852, Time 7.6203
