Using GPU for training.
Epoch 0, Score 12.0000, Loss 360.5168, Time 2.3886
Epoch 1, Score 5.0000, Loss 1585.8707, Time 2.6356
Epoch 2, Score 7.0000, Loss 2803.5378, Time 2.7564
Epoch 3, Score 4.0000, Loss 3306.4609, Time 2.9461
Epoch 4, Score 3.0000, Loss 3890.1282, Time 2.9332
Epoch 5, Score 10.0000, Loss 4217.2124, Time 3.0117
Epoch 6, Score 4.0000, Loss 4263.4487, Time 3.1267
Epoch 7, Score 16.0000, Loss 4092.8472, Time 3.2827
Epoch 8, Score 6.0000, Loss 3843.3813, Time 3.2463
Epoch 9, Score 12.0000, Loss 3625.7241, Time 3.3452
Epoch 10, Score 3.0000, Loss 3504.9644, Time 3.4544
Epoch 11, Score 18.0000, Loss 3459.4875, Time 3.5780
Epoch 12, Score 2.0000, Loss 3452.9880, Time 3.7005
Epoch 13, Score 4.0000, Loss 3488.1562, Time 3.7956
Epoch 14, Score 12.0000, Loss 3536.8103, Time 3.8238
Epoch 15, Score 3.0000, Loss 3509.6497, Time 3.9538
Epoch 16, Score 24.0000, Loss 3599.2715, Time 4.0867
Epoch 17, Score 17.0000, Loss 3640.4800, Time 4.1384
Epoch 18, Score 8.0000, Loss 3702.5144, Time 4.2301
Epoch 19, Score 11.0000, Loss 3745.8728, Time 4.3624
Epoch 20, Score 4.0000, Loss 3817.9087, Time 4.3599
Epoch 21, Score 14.0000, Loss 3818.3914, Time 4.5277
Epoch 22, Score 1.0000, Loss 3860.9719, Time 4.6896
Epoch 23, Score 1.0000, Loss 3859.3669, Time 4.7685
Epoch 24, Score 1.0000, Loss 3889.4346, Time 4.8625
Epoch 25, Score 4.0000, Loss 2811.7747, Time 4.9606
Epoch 26, Score 8.0000, Loss 2675.6919, Time 5.0671
Epoch 27, Score 2.0000, Loss 2552.9941, Time 5.2221
Epoch 28, Score 0.0000, Loss 2545.6018, Time 5.3448
Epoch 29, Score 15.0000, Loss 2564.5303, Time 5.4407
Epoch 30, Score 3.0000, Loss 2571.7039, Time 5.5423
Epoch 31, Score 0.0000, Loss 2591.7915, Time 5.6037
Epoch 32, Score 13.0000, Loss 2592.7246, Time 5.9755
Epoch 33, Score 11.0000, Loss 2602.3384, Time 5.8932
Epoch 34, Score 6.0000, Loss 2596.0085, Time 5.9435
Epoch 35, Score 8.0000, Loss 2620.1404, Time 6.0533
Epoch 36, Score 3.0000, Loss 2614.7397, Time 6.1969
Epoch 37, Score 7.0000, Loss 2593.5935, Time 6.3046
Epoch 38, Score 0.0000, Loss 2611.3057, Time 6.7072
Epoch 39, Score 3.0000, Loss 2609.8062, Time 6.5539
Epoch 40, Score 4.0000, Loss 2603.7146, Time 6.6619
Epoch 41, Score 4.0000, Loss 2611.8540, Time 6.7678
Epoch 42, Score 0.0000, Loss 2593.0059, Time 6.8224
Epoch 43, Score 3.0000, Loss 2619.1384, Time 6.9340
Epoch 44, Score 0.0000, Loss 2603.9565, Time 7.0676
Epoch 45, Score 7.0000, Loss 2605.2092, Time 7.2196
Epoch 46, Score 6.0000, Loss 2585.7593, Time 7.2744
Epoch 47, Score 6.0000, Loss 2581.8928, Time 7.3497
Epoch 48, Score 5.0000, Loss 2597.7844, Time 7.4849
Epoch 49, Score 1.0000, Loss 2590.6157, Time 7.6243
Epoch 50, Score 7.0000, Loss 2490.5710, Time 7.7515
Epoch 51, Score 1.0000, Loss 2395.0059, Time 7.9255
Epoch 52, Score 5.0000, Loss 2364.5630, Time 8.0295
Epoch 53, Score 3.0000, Loss 2374.7134, Time 8.1304
Epoch 54, Score 0.0000, Loss 2397.6348, Time 8.2831
Epoch 55, Score 5.0000, Loss 2412.8752, Time 8.3472
Epoch 56, Score 1.0000, Loss 2412.4988, Time 8.4835
Epoch 57, Score 2.0000, Loss 2369.4963, Time 8.5705
Epoch 58, Score 4.0000, Loss 2396.2788, Time 8.7468
Epoch 59, Score 6.0000, Loss 2407.0996, Time 8.8530
Epoch 60, Score 10.0000, Loss 2412.4788, Time 8.9391
Epoch 61, Score 5.0000, Loss 2393.9517, Time 9.1084
Epoch 62, Score 4.0000, Loss 2412.5779, Time 9.3290
Epoch 63, Score 4.0000, Loss 2395.0552, Time 9.3388
Epoch 64, Score 2.0000, Loss 2376.9766, Time 9.4384
Epoch 65, Score 10.0000, Loss 2405.3328, Time 9.5574
Epoch 66, Score 3.0000, Loss 2371.5056, Time 9.7704
Epoch 67, Score 7.0000, Loss 2414.4097, Time 9.7664
Epoch 68, Score 2.0000, Loss 2384.5535, Time 9.9803
Epoch 69, Score 7.0000, Loss 2384.6399, Time 10.0960
Epoch 70, Score 1.0000, Loss 2399.8247, Time 10.1769
Epoch 71, Score 3.0000, Loss 2382.8369, Time 10.3004
Epoch 72, Score 5.0000, Loss 2388.2068, Time 10.4386
Epoch 73, Score 0.0000, Loss 2397.8474, Time 10.5587
Epoch 74, Score 4.0000, Loss 2389.3235, Time 10.7420
Epoch 75, Score 0.0000, Loss 2302.0098, Time 10.8500
Epoch 76, Score 6.0000, Loss 2273.2905, Time 10.9149
Epoch 77, Score 5.0000, Loss 2259.8696, Time 11.0312
Epoch 78, Score 4.0000, Loss 2250.3247, Time 11.2381
Epoch 79, Score 0.0000, Loss 2253.5532, Time 11.3422
Epoch 80, Score 3.0000, Loss 2251.0107, Time 11.5008
Epoch 81, Score 3.0000, Loss 2280.0857, Time 11.5620
Epoch 82, Score 0.0000, Loss 2267.5112, Time 11.7184
Epoch 83, Score 6.0000, Loss 2283.7705, Time 11.8225
Epoch 84, Score 5.0000, Loss 2253.5769, Time 12.0465
Epoch 85, Score 1.0000, Loss 2253.1294, Time 12.0542
Epoch 86, Score 3.0000, Loss 2299.9199, Time 12.2198
Epoch 87, Score 6.0000, Loss 2254.1174, Time 12.3141
Epoch 88, Score 3.0000, Loss 2256.6685, Time 12.5323
