Using GPU for training.
Epoch 0, Score 37.0000, Loss 126.5952, Time 2.2549
Epoch 1, Score 10.0000, Loss 524.7341, Time 2.4841
Epoch 2, Score 9.0000, Loss 1190.3243, Time 2.5948
Epoch 3, Score 4.0000, Loss 2058.7520, Time 2.6230
Epoch 4, Score 10.0000, Loss 2869.9253, Time 2.6892
Epoch 5, Score 6.0000, Loss 3565.5894, Time 2.8004
Epoch 6, Score 50.0000, Loss 3872.1084, Time 2.8264
Epoch 7, Score 9.0000, Loss 3817.4062, Time 2.9181
Epoch 8, Score 4.0000, Loss 4157.7202, Time 2.9466
Epoch 9, Score 7.0000, Loss 3511.0029, Time 2.9909
Epoch 10, Score 26.0000, Loss 3958.1299, Time 3.0538
Epoch 11, Score 9.0000, Loss 3633.6670, Time 3.2056
Epoch 12, Score 2.0000, Loss 3197.1975, Time 3.2947
Epoch 13, Score 11.0000, Loss 3560.8547, Time 3.2648
Epoch 14, Score 8.0000, Loss 2823.9343, Time 3.3971
Epoch 15, Score 9.0000, Loss 3136.3159, Time 3.4270
Epoch 16, Score 11.0000, Loss 2959.0581, Time 3.5195
Epoch 17, Score 27.0000, Loss 2575.9880, Time 3.6149
Epoch 18, Score 45.0000, Loss 2848.0801, Time 3.6454
Epoch 19, Score 22.0000, Loss 2379.8643, Time 3.7291
Epoch 20, Score 9.0000, Loss 2628.1001, Time 3.8183
Epoch 21, Score 12.0000, Loss 2503.7825, Time 3.8470
Epoch 22, Score 13.0000, Loss 2156.0188, Time 3.9734
Epoch 23, Score 1.0000, Loss 2456.1260, Time 4.0500
Epoch 24, Score 3.0000, Loss 2111.0020, Time 4.1174
Epoch 25, Score 14.0000, Loss 2271.3677, Time 4.1654
Epoch 26, Score 8.0000, Loss 2178.7251, Time 4.2903
Epoch 27, Score 4.0000, Loss 2052.9492, Time 4.2970
Epoch 28, Score 11.0000, Loss 2256.6738, Time 4.4057
Epoch 29, Score 6.0000, Loss 1975.8726, Time 4.4973
Epoch 30, Score 9.0000, Loss 2218.2017, Time 4.5493
Epoch 31, Score 12.0000, Loss 2123.0515, Time 4.6111
Epoch 32, Score 6.0000, Loss 2073.3040, Time 4.6564
Epoch 33, Score 2.0000, Loss 2177.2078, Time 4.7634
Epoch 34, Score 9.0000, Loss 2108.6863, Time 4.8554
Epoch 35, Score 22.0000, Loss 2228.5896, Time 4.9317
Epoch 36, Score 16.0000, Loss 2160.2100, Time 4.9949
Epoch 37, Score 2.0000, Loss 2124.3779, Time 5.0856
Epoch 38, Score 3.0000, Loss 2224.9087, Time 5.1093
Epoch 39, Score 4.0000, Loss 2142.2190, Time 5.2064
Epoch 40, Score 9.0000, Loss 2221.1299, Time 5.2839
Epoch 41, Score 8.0000, Loss 2195.1633, Time 5.4185
Epoch 42, Score 0.0000, Loss 2138.6731, Time 5.5320
Epoch 43, Score 13.0000, Loss 2220.9961, Time 5.4967
Epoch 44, Score 6.0000, Loss 2213.2627, Time 5.6637
Epoch 45, Score 9.0000, Loss 2212.2314, Time 5.9591
Epoch 46, Score 5.0000, Loss 2276.7603, Time 5.6959
