Using GPU for training.
Epoch 0, Score 15.0000, Loss 310.5390, Time 2.1071
Epoch 1, Score 12.0000, Loss 1091.5397, Time 2.9893
Epoch 2, Score 1.0000, Loss 2008.7238, Time 3.2106
Epoch 3, Score 4.0000, Loss 2664.5813, Time 3.2461
Epoch 4, Score 3.0000, Loss 3053.3296, Time 3.4240
Epoch 5, Score 0.0000, Loss 3269.1250, Time 3.5571
Epoch 6, Score 7.0000, Loss 3201.4331, Time 3.7533
Epoch 7, Score 3.0000, Loss 3490.9209, Time 3.8286
Epoch 8, Score 0.0000, Loss 3601.4624, Time 3.9371
Epoch 9, Score 21.0000, Loss 3663.0188, Time 4.0665
Epoch 10, Score 2.0000, Loss 3706.6812, Time 4.2596
Epoch 11, Score 2.0000, Loss 3724.0537, Time 4.3925
Epoch 12, Score 11.0000, Loss 3009.3606, Time 4.4586
Epoch 13, Score 3.0000, Loss 2204.9226, Time 4.6263
Epoch 14, Score 4.0000, Loss 2273.8474, Time 4.7728
Epoch 15, Score 3.0000, Loss 2305.0413, Time 4.8920
Epoch 16, Score 0.0000, Loss 2325.3215, Time 5.0422
Epoch 17, Score 1.0000, Loss 2344.9600, Time 5.1827
Epoch 18, Score 0.0000, Loss 2339.1902, Time 5.2495
Epoch 19, Score 1.0000, Loss 2365.0806, Time 5.5165
Epoch 20, Score 9.0000, Loss 2372.1270, Time 5.5137
Epoch 21, Score 6.0000, Loss 2375.3240, Time 5.6138
Epoch 22, Score 16.0000, Loss 2384.7429, Time 5.7268
Epoch 23, Score 1.0000, Loss 2381.7676, Time 5.8066
Epoch 24, Score 3.0000, Loss 2374.7937, Time 6.0488
Epoch 25, Score 8.0000, Loss 2229.4304, Time 6.0344
Epoch 26, Score 21.0000, Loss 2228.2568, Time 6.1190
Epoch 27, Score 14.0000, Loss 2223.8306, Time 6.2733
Epoch 28, Score 22.0000, Loss 2229.4858, Time 6.3739
Epoch 29, Score 4.0000, Loss 2238.2112, Time 6.4758
Epoch 30, Score 18.0000, Loss 2247.9963, Time 6.6517
Epoch 31, Score 6.0000, Loss 2239.2036, Time 6.7420
Epoch 32, Score 0.0000, Loss 2242.9937, Time 6.8008
Epoch 33, Score 8.0000, Loss 2252.2693, Time 6.8915
Epoch 34, Score 26.0000, Loss 2252.6345, Time 6.8465
Epoch 35, Score 12.0000, Loss 2256.7021, Time 6.9571
Epoch 36, Score 17.0000, Loss 2245.9009, Time 7.0179
Epoch 37, Score 4.0000, Loss 2181.8167, Time 7.1998
Epoch 38, Score 2.0000, Loss 2062.2180, Time 7.2182
Epoch 39, Score 26.0000, Loss 2066.0054, Time 7.2792
Epoch 40, Score 12.0000, Loss 2072.0310, Time 7.2956
Epoch 41, Score 12.0000, Loss 2061.7156, Time 7.4054
