Using GPU for training.
Epoch 0, Score 9.0000, Loss 188.7234, Time 2.1348
Epoch 1, Score 2.0000, Loss 614.3298, Time 2.9521
Epoch 2, Score 18.0000, Loss 889.9810, Time 3.0094
Epoch 3, Score 14.0000, Loss 912.4623, Time 3.0789
Epoch 4, Score 14.0000, Loss 1085.7529, Time 3.1855
Epoch 5, Score 11.0000, Loss 1288.2731, Time 3.2633
Epoch 6, Score 15.0000, Loss 1435.4644, Time 3.2890
Epoch 7, Score 6.0000, Loss 1513.5535, Time 3.3723
Epoch 8, Score 10.0000, Loss 1611.6619, Time 3.4263
Epoch 9, Score 10.0000, Loss 1655.0398, Time 3.4873
Epoch 10, Score 2.0000, Loss 1635.4921, Time 3.5710
Epoch 11, Score 37.0000, Loss 1643.2825, Time 3.6222
Epoch 12, Score 7.0000, Loss 1656.6288, Time 3.6821
Epoch 13, Score 6.0000, Loss 1667.4169, Time 3.7949
Epoch 14, Score 0.0000, Loss 1698.4387, Time 3.8458
Epoch 15, Score 2.0000, Loss 1713.9379, Time 3.9119
Epoch 16, Score 37.0000, Loss 1702.4431, Time 3.9542
Epoch 17, Score 5.0000, Loss 1710.0853, Time 3.9931
Epoch 18, Score 25.0000, Loss 1712.7152, Time 4.0481
Epoch 19, Score 13.0000, Loss 1721.5759, Time 4.1032
Epoch 20, Score 0.0000, Loss 1661.0800, Time 4.1786
Epoch 21, Score 4.0000, Loss 1651.1725, Time 4.2261
Epoch 22, Score 4.0000, Loss 1650.4653, Time 4.2617
Epoch 23, Score 2.0000, Loss 1643.4497, Time 4.4226
Epoch 24, Score 10.0000, Loss 1648.7979, Time 4.5139
Epoch 25, Score 5.0000, Loss 1605.7136, Time 4.5419
Epoch 26, Score 31.0000, Loss 1614.9470, Time 4.6483
Epoch 27, Score 17.0000, Loss 1591.4039, Time 4.7593
Epoch 28, Score 3.0000, Loss 1590.9978, Time 4.7777
Epoch 29, Score 1.0000, Loss 1591.8567, Time 4.9151
Epoch 30, Score 5.0000, Loss 1561.5238, Time 5.0256
Epoch 31, Score 13.0000, Loss 1579.4619, Time 5.0311
Epoch 32, Score 10.0000, Loss 1599.0531, Time 5.1565
Epoch 33, Score 5.0000, Loss 1642.0657, Time 5.2412
Epoch 34, Score 1.0000, Loss 1648.7510, Time 5.3223
Epoch 35, Score 1.0000, Loss 1662.9736, Time 5.3575
Epoch 36, Score 1.0000, Loss 1662.7113, Time 5.5011
Epoch 37, Score 4.0000, Loss 1659.6132, Time 5.5286
Epoch 38, Score 4.0000, Loss 1650.8225, Time 5.6544
Epoch 39, Score 3.0000, Loss 1641.0581, Time 5.7601
Epoch 40, Score 0.0000, Loss 1559.3263, Time 5.7385
Epoch 41, Score 13.0000, Loss 1573.6210, Time 5.8544
Epoch 42, Score 6.0000, Loss 1559.9716, Time 5.9021
Epoch 43, Score 6.0000, Loss 1542.4303, Time 6.0807
Epoch 44, Score 6.0000, Loss 1559.0815, Time 6.0194
Epoch 45, Score 7.0000, Loss 1613.3372, Time 6.0625
Epoch 46, Score 0.0000, Loss 1624.4855, Time 6.0753
Epoch 47, Score 15.0000, Loss 1623.3654, Time 6.1615
Epoch 48, Score 5.0000, Loss 1614.3163, Time 6.2456
Epoch 49, Score 0.0000, Loss 1619.3533, Time 6.5145
Epoch 50, Score 25.0000, Loss 1625.2740, Time 6.5373
Epoch 51, Score 3.0000, Loss 1626.7361, Time 6.5863
Epoch 52, Score 6.0000, Loss 1632.0731, Time 6.6697
Epoch 53, Score 17.0000, Loss 1622.0903, Time 6.6973
Epoch 54, Score 27.0000, Loss 1631.5714, Time 6.8357
Epoch 55, Score 2.0000, Loss 1621.4011, Time 6.9516
Epoch 56, Score 3.0000, Loss 1627.4250, Time 7.0243
Epoch 57, Score 25.0000, Loss 1602.1016, Time 7.0583
Epoch 58, Score 3.0000, Loss 1571.8287, Time 7.2533
Epoch 59, Score 11.0000, Loss 1574.3594, Time 7.1633
Epoch 60, Score 1.0000, Loss 1593.0543, Time 7.3691
Epoch 61, Score 5.0000, Loss 1598.9197, Time 7.3885
Epoch 62, Score 6.0000, Loss 1581.3475, Time 7.5167
Epoch 63, Score 4.0000, Loss 1569.2512, Time 7.5498
Epoch 64, Score 15.0000, Loss 1562.9648, Time 7.4746
Epoch 65, Score 26.0000, Loss 1582.0474, Time 7.5023
Epoch 66, Score 5.0000, Loss 1571.2985, Time 7.6081
Epoch 67, Score 1.0000, Loss 1571.3433, Time 7.8301
Epoch 68, Score 7.0000, Loss 1591.0830, Time 7.9817
Epoch 69, Score 4.0000, Loss 1601.8715, Time 8.0817
Epoch 70, Score 8.0000, Loss 1573.5815, Time 8.0931
Epoch 71, Score 8.0000, Loss 1579.9369, Time 8.1162
Epoch 72, Score 11.0000, Loss 1588.1067, Time 8.3195
Epoch 73, Score 0.0000, Loss 1610.4022, Time 8.3826
