Using GPU for training.
Epoch 0, Score 29.0000, Loss 358.8236, Time 2.3942
Epoch 1, Score 4.0000, Loss 1071.5532, Time 2.6436
Epoch 2, Score 37.0000, Loss 1841.6132, Time 2.7652
Epoch 3, Score 19.0000, Loss 2417.7703, Time 2.7937
Epoch 4, Score 8.0000, Loss 2817.5576, Time 2.9062
Epoch 5, Score 3.0000, Loss 3085.0632, Time 2.9372
Epoch 6, Score 0.0000, Loss 3295.1321, Time 3.0291
Epoch 7, Score 5.0000, Loss 3455.6050, Time 3.1212
Epoch 8, Score 7.0000, Loss 3580.8435, Time 3.1988
Epoch 9, Score 20.0000, Loss 3683.7119, Time 3.2724
Epoch 10, Score 3.0000, Loss 3731.2190, Time 3.3624
Epoch 11, Score 23.0000, Loss 3799.2319, Time 3.4422
Epoch 12, Score 3.0000, Loss 3868.4556, Time 3.5525
Epoch 13, Score 14.0000, Loss 3898.9219, Time 3.6793
Epoch 14, Score 0.0000, Loss 3945.5596, Time 3.7668
Epoch 15, Score 3.0000, Loss 3978.1748, Time 3.7883
Epoch 16, Score 7.0000, Loss 4021.7493, Time 4.0091
Epoch 17, Score 2.0000, Loss 3995.5859, Time 4.0050
Epoch 18, Score 12.0000, Loss 4031.8757, Time 4.0580
Epoch 19, Score 2.0000, Loss 4084.6882, Time 4.1569
Epoch 20, Score 15.0000, Loss 4075.9165, Time 4.2808
Epoch 21, Score 35.0000, Loss 4117.2407, Time 4.2763
Epoch 22, Score 20.0000, Loss 4122.5664, Time 4.4546
Epoch 23, Score 24.0000, Loss 4128.3950, Time 4.4645
Epoch 24, Score 0.0000, Loss 4139.4150, Time 4.6027
Epoch 25, Score 31.0000, Loss 4184.7651, Time 4.6184
Epoch 26, Score 4.0000, Loss 4201.5332, Time 4.8171
Epoch 27, Score 5.0000, Loss 4216.9302, Time 4.8625
Epoch 28, Score 24.0000, Loss 4211.2280, Time 5.0006
Epoch 29, Score 2.0000, Loss 4229.6143, Time 4.9906
Epoch 30, Score 44.0000, Loss 4229.9360, Time 5.1059
Epoch 31, Score 5.0000, Loss 4252.4302, Time 5.1362
Epoch 32, Score 5.0000, Loss 4275.4209, Time 5.3255
Epoch 33, Score 16.0000, Loss 4288.9917, Time 5.3916
Epoch 34, Score 21.0000, Loss 4274.6470, Time 5.4194
Epoch 35, Score 6.0000, Loss 4313.1455, Time 5.5761
Epoch 36, Score 20.0000, Loss 4314.4316, Time 5.6178
Epoch 37, Score 5.0000, Loss 4317.2329, Time 5.7375
Epoch 38, Score 2.0000, Loss 4316.1675, Time 5.8667
Epoch 39, Score 3.0000, Loss 4335.6929, Time 5.9370
Epoch 40, Score 38.0000, Loss 4339.9375, Time 6.0506
Epoch 41, Score 10.0000, Loss 4346.9346, Time 6.1753
Epoch 42, Score 11.0000, Loss 4348.2700, Time 6.2115
Epoch 43, Score 2.0000, Loss 4368.2832, Time 6.3686
Epoch 44, Score 8.0000, Loss 4366.6138, Time 6.4100
Epoch 45, Score 0.0000, Loss 4366.2969, Time 6.4918
Epoch 46, Score 8.0000, Loss 4369.8506, Time 6.5813
Epoch 47, Score 6.0000, Loss 4357.8257, Time 6.6377
Epoch 48, Score 3.0000, Loss 4375.0522, Time 6.7279
Epoch 49, Score 8.0000, Loss 4359.4326, Time 6.8403
Epoch 50, Score 11.0000, Loss 4373.9629, Time 6.9744
Epoch 51, Score 2.0000, Loss 4396.9873, Time 7.0511
Epoch 52, Score 2.0000, Loss 4383.9443, Time 7.0788
