Using GPU for training.
Epoch 0, Score 10.0000, Loss 1.0556, Time 1.6264
Epoch 1, Score 8.0000, Loss 0.9169, Time 1.9863
Epoch 2, Score 11.0000, Loss 0.7801, Time 1.9985
Epoch 3, Score 27.0000, Loss 0.6588, Time 2.0689
Epoch 4, Score 19.0000, Loss 0.5301, Time 2.1680
Epoch 5, Score 1.0000, Loss 0.4033, Time 2.1596
Epoch 6, Score 6.0000, Loss 0.2973, Time 2.1639
Epoch 7, Score 10.0000, Loss 0.2171, Time 2.2266
Epoch 8, Score 12.0000, Loss 0.1570, Time 2.2808
Epoch 9, Score 37.0000, Loss 0.1144, Time 2.2806
Epoch 10, Score 5.0000, Loss 0.0846, Time 2.3576
Epoch 11, Score 3.0000, Loss 0.0589, Time 2.4147
Epoch 12, Score 20.0000, Loss 0.0418, Time 2.4240
Epoch 13, Score 8.0000, Loss 0.0290, Time 2.5228
Epoch 14, Score 12.0000, Loss 0.0192, Time 2.5190
Epoch 15, Score 37.0000, Loss 0.0139, Time 2.5938
Epoch 16, Score 14.0000, Loss 0.0099, Time 2.6390
Epoch 17, Score 12.0000, Loss 0.0074, Time 2.6881
Epoch 18, Score 4.0000, Loss 0.0060, Time 2.7400
Epoch 19, Score 8.0000, Loss 0.0050, Time 2.7695
Epoch 20, Score 14.0000, Loss 0.0042, Time 2.8191
Epoch 21, Score 13.0000, Loss 0.0038, Time 2.8942
Epoch 22, Score 7.0000, Loss 0.0034, Time 2.9344
Epoch 23, Score 4.0000, Loss 0.0033, Time 3.0370
Epoch 24, Score 12.0000, Loss 0.0032, Time 3.0568
Epoch 25, Score 2.0000, Loss 0.1202, Time 3.1078
Epoch 26, Score 7.0000, Loss 0.0795, Time 3.1559
Epoch 27, Score 3.0000, Loss 0.0620, Time 3.2738
Epoch 28, Score 9.0000, Loss 0.0526, Time 3.2784
Epoch 29, Score 15.0000, Loss 0.0503, Time 3.2984
Epoch 30, Score 10.0000, Loss 0.0502, Time 3.3798
