Using GPU for training.
Epoch 0, Score 30.0000, Loss 132.4680, Time 2.3866
Epoch 1, Score 13.0000, Loss 541.1563, Time 2.6247
Epoch 2, Score 28.0000, Loss 858.6325, Time 2.6970
Epoch 3, Score 7.0000, Loss 979.0469, Time 2.7382
Epoch 4, Score 38.0000, Loss 1175.7429, Time 2.8282
Epoch 5, Score 0.0000, Loss 1379.0227, Time 2.9029
Epoch 6, Score 2.0000, Loss 1518.0266, Time 2.9512
Epoch 7, Score 8.0000, Loss 1636.1228, Time 2.9936
Epoch 8, Score 37.0000, Loss 1708.8406, Time 3.0258
Epoch 9, Score 4.0000, Loss 1764.7399, Time 3.1435
Epoch 10, Score 4.0000, Loss 1838.2488, Time 3.1708
Epoch 11, Score 5.0000, Loss 1865.7212, Time 3.2469
Epoch 12, Score 0.0000, Loss 1878.8289, Time 3.3756
Epoch 13, Score 2.0000, Loss 1894.4241, Time 3.4321
Epoch 14, Score 3.0000, Loss 1921.2019, Time 3.5244
Epoch 15, Score 28.0000, Loss 1968.4700, Time 3.6133
Epoch 16, Score 0.0000, Loss 1975.9873, Time 3.6514
Epoch 17, Score 8.0000, Loss 1997.1362, Time 3.6964
Epoch 18, Score 13.0000, Loss 1992.5702, Time 3.7901
Epoch 19, Score 9.0000, Loss 1993.8934, Time 3.8507
Epoch 20, Score 8.0000, Loss 1999.1328, Time 3.9358
Epoch 21, Score 24.0000, Loss 1991.2510, Time 3.9895
Epoch 22, Score 0.0000, Loss 1997.6957, Time 4.1061
Epoch 23, Score 4.0000, Loss 2008.3484, Time 4.1430
Epoch 24, Score 5.0000, Loss 1977.1478, Time 4.2612
Epoch 25, Score 6.0000, Loss 1973.7091, Time 4.3262
Epoch 26, Score 29.0000, Loss 1966.2426, Time 4.3987
Epoch 27, Score 9.0000, Loss 1967.2059, Time 4.4054
Epoch 28, Score 2.0000, Loss 1943.4866, Time 4.5388
Epoch 29, Score 5.0000, Loss 1973.9391, Time 4.5774
Epoch 30, Score 7.0000, Loss 2027.9862, Time 4.6696
Epoch 31, Score 5.0000, Loss 2042.8047, Time 4.7594
Epoch 32, Score 6.0000, Loss 2005.7965, Time 4.7957
Epoch 33, Score 8.0000, Loss 1985.1154, Time 4.9157
Epoch 34, Score 19.0000, Loss 2003.4443, Time 4.9659
Epoch 35, Score 8.0000, Loss 2013.2280, Time 5.0233
Epoch 36, Score 4.0000, Loss 1997.0966, Time 5.1519
Epoch 37, Score 5.0000, Loss 2014.7859, Time 5.1865
Epoch 38, Score 9.0000, Loss 2041.1079, Time 5.3270
Epoch 39, Score 8.0000, Loss 2046.9962, Time 5.4256
Epoch 40, Score 6.0000, Loss 2022.0934, Time 5.4599
Epoch 41, Score 21.0000, Loss 2032.3059, Time 5.5510
Epoch 42, Score 4.0000, Loss 2028.4844, Time 5.6461
Epoch 43, Score 1.0000, Loss 1959.5383, Time 5.7435
Epoch 44, Score 3.0000, Loss 2015.7407, Time 5.7787
Epoch 45, Score 0.0000, Loss 1974.6975, Time 5.8614
Epoch 46, Score 10.0000, Loss 1988.1665, Time 6.0235
Epoch 47, Score 7.0000, Loss 2001.7797, Time 6.0347
Epoch 48, Score 8.0000, Loss 2004.1112, Time 6.0352
Epoch 49, Score 3.0000, Loss 2005.6985, Time 6.2751
Epoch 50, Score 8.0000, Loss 2013.4441, Time 6.2016
Epoch 51, Score 0.0000, Loss 2029.3080, Time 6.3550
Epoch 52, Score 34.0000, Loss 2045.4513, Time 6.4268
