Using GPU for training.
Epoch 0, Score 17.0000, Loss 0.7106, Time 1.6538
Epoch 1, Score 16.0000, Loss 0.1980, Time 1.7706
Epoch 2, Score 11.0000, Loss 0.1576, Time 1.8599
Epoch 3, Score 23.0000, Loss 0.0869, Time 1.8466
Epoch 4, Score 8.0000, Loss 0.0708, Time 1.9215
Epoch 5, Score 10.0000, Loss 0.2405, Time 1.9596
Epoch 6, Score 6.0000, Loss 0.2359, Time 2.0193
Epoch 7, Score 12.0000, Loss 0.3511, Time 2.0369
Epoch 8, Score 12.0000, Loss 0.4851, Time 2.1322
Epoch 9, Score 13.0000, Loss 0.4943, Time 2.1261
Epoch 10, Score 2.0000, Loss 0.7630, Time 2.1926
Epoch 11, Score 21.0000, Loss 0.8103, Time 2.2344
Epoch 12, Score 19.0000, Loss 0.9365, Time 2.2636
Epoch 13, Score 7.0000, Loss 1.1112, Time 2.3188
Epoch 14, Score 16.0000, Loss 1.1207, Time 2.3419
Epoch 15, Score 26.0000, Loss 1.4183, Time 2.4051
Epoch 16, Score 10.0000, Loss 1.4428, Time 2.4521
Epoch 17, Score 9.0000, Loss 1.6249, Time 2.5154
Epoch 18, Score 3.0000, Loss 1.7572, Time 2.5647
Epoch 19, Score 4.0000, Loss 1.7733, Time 2.6129
Epoch 20, Score 23.0000, Loss 2.1816, Time 2.6594
Epoch 21, Score 8.0000, Loss 2.1165, Time 2.6903
Epoch 22, Score 0.0000, Loss 2.3590, Time 2.8033
Epoch 23, Score 2.0000, Loss 2.5554, Time 2.8563
Epoch 24, Score 10.0000, Loss 2.5755, Time 2.8589
Epoch 25, Score 30.0000, Loss 2.9414, Time 2.8946
Epoch 26, Score 8.0000, Loss 2.8850, Time 2.9709
Epoch 27, Score 4.0000, Loss 3.0703, Time 3.0061
Epoch 28, Score 23.0000, Loss 3.1979, Time 3.0691
Epoch 29, Score 33.0000, Loss 3.1589, Time 3.0700
Epoch 30, Score 4.0000, Loss 3.5318, Time 3.0885
Epoch 31, Score 7.0000, Loss 3.5218, Time 3.1612
Epoch 32, Score 6.0000, Loss 3.7821, Time 3.2156
Epoch 33, Score 5.0000, Loss 3.9358, Time 3.2885
Epoch 34, Score 28.0000, Loss 3.9043, Time 3.3332
Epoch 35, Score 3.0000, Loss 4.3717, Time 3.3631
Epoch 36, Score 18.0000, Loss 4.1970, Time 3.4172
Epoch 37, Score 34.0000, Loss 4.5126, Time 3.4606
Epoch 38, Score 7.0000, Loss 4.7100, Time 3.5079
Epoch 39, Score 27.0000, Loss 4.6605, Time 3.5983
Epoch 40, Score 5.0000, Loss 5.0522, Time 3.6439
Epoch 41, Score 9.0000, Loss 4.9574, Time 3.6816
Epoch 42, Score 5.0000, Loss 5.2163, Time 3.7662
Epoch 43, Score 31.0000, Loss 5.6922, Time 3.7853
Epoch 44, Score 9.0000, Loss 5.5713, Time 3.7848
Epoch 45, Score 5.0000, Loss 5.9817, Time 3.8751
Epoch 46, Score 1.0000, Loss 5.8834, Time 3.9198
Epoch 47, Score 16.0000, Loss 6.4643, Time 3.9404
Epoch 48, Score 36.0000, Loss 6.5640, Time 4.0104
Epoch 49, Score 15.0000, Loss 6.4613, Time 4.0437
Epoch 50, Score 38.0000, Loss 7.0114, Time 4.1159
Epoch 51, Score 1.0000, Loss 6.8675, Time 4.1702
Epoch 52, Score 20.0000, Loss 7.0747, Time 4.2209
Epoch 53, Score 25.0000, Loss 7.4742, Time 4.2518
Epoch 54, Score 6.0000, Loss 7.7380, Time 4.2835
Epoch 55, Score 26.0000, Loss 8.1838, Time 4.3354
Epoch 56, Score 31.0000, Loss 8.1640, Time 4.4086
Epoch 57, Score 9.0000, Loss 8.2157, Time 4.4784
Epoch 58, Score 1.0000, Loss 8.8533, Time 4.4795
Epoch 59, Score 3.0000, Loss 8.4125, Time 4.5322
Epoch 60, Score 1.0000, Loss 9.6369, Time 4.5933
Epoch 61, Score 8.0000, Loss 9.2748, Time 4.6660
Epoch 62, Score 5.0000, Loss 10.1842, Time 4.7360
Epoch 63, Score 41.0000, Loss 10.2074, Time 4.7132
Epoch 64, Score 3.0000, Loss 10.0153, Time 4.7940
Epoch 65, Score 1.0000, Loss 10.3366, Time 4.8731
Epoch 66, Score 3.0000, Loss 10.9139, Time 4.9359
Epoch 67, Score 12.0000, Loss 11.1230, Time 4.9402
Epoch 68, Score 22.0000, Loss 11.3873, Time 5.0014
Epoch 69, Score 16.0000, Loss 11.7696, Time 5.0449
Epoch 70, Score 41.0000, Loss 12.8092, Time 5.1099
Epoch 71, Score 10.0000, Loss 12.2415, Time 5.1417
Epoch 72, Score 13.0000, Loss 12.7776, Time 5.2057
Epoch 73, Score 13.0000, Loss 13.3127, Time 5.2212
Epoch 74, Score 6.0000, Loss 12.9615, Time 5.3460
Epoch 75, Score 36.0000, Loss 14.0399, Time 5.3675
Epoch 76, Score 7.0000, Loss 13.8171, Time 5.4367
Epoch 77, Score 2.0000, Loss 14.5551, Time 5.4510
Epoch 78, Score 7.0000, Loss 15.2652, Time 5.4988
Epoch 79, Score 2.0000, Loss 15.5171, Time 5.6244
Epoch 80, Score 0.0000, Loss 16.6189, Time 5.7941
Epoch 81, Score 8.0000, Loss 15.6307, Time 5.6677
Epoch 82, Score 24.0000, Loss 16.7234, Time 5.6886
Epoch 83, Score 2.0000, Loss 17.3101, Time 5.7477
Epoch 84, Score 1.0000, Loss 17.8255, Time 5.8559
Epoch 85, Score 6.0000, Loss 18.1137, Time 5.8569
Epoch 86, Score 25.0000, Loss 18.3084, Time 5.8989
Epoch 87, Score 0.0000, Loss 19.0589, Time 5.9487
Epoch 88, Score 45.0000, Loss 19.8383, Time 5.9880
Epoch 89, Score 36.0000, Loss 19.1964, Time 6.0921
Epoch 90, Score 53.0000, Loss 21.1935, Time 6.1085
Epoch 91, Score 2.0000, Loss 21.4492, Time 6.1327
Epoch 92, Score 4.0000, Loss 21.7841, Time 6.2238
Epoch 93, Score 13.0000, Loss 21.3984, Time 6.2808
Epoch 94, Score 7.0000, Loss 20.6631, Time 6.2838
Epoch 95, Score 3.0000, Loss 23.0740, Time 6.4082
Epoch 96, Score 16.0000, Loss 21.6287, Time 6.3920
Epoch 97, Score 4.0000, Loss 23.4802, Time 6.4691
Epoch 98, Score 15.0000, Loss 23.8566, Time 6.4927
Epoch 99, Score 2.0000, Loss 23.3436, Time 6.5739
Epoch 100, Score 12.0000, Loss 24.3090, Time 6.5989
Epoch 101, Score 8.0000, Loss 22.9654, Time 6.7006
Epoch 102, Score 7.0000, Loss 27.2217, Time 6.7214
Epoch 103, Score 1.0000, Loss 26.8943, Time 6.8264
Epoch 104, Score 5.0000, Loss 26.8764, Time 6.8452
Epoch 105, Score 21.0000, Loss 28.5270, Time 6.8816
Epoch 106, Score 26.0000, Loss 28.4137, Time 6.9960
Epoch 107, Score 0.0000, Loss 28.9742, Time 6.9650
Epoch 108, Score 5.0000, Loss 31.0475, Time 7.1588
Epoch 109, Score 9.0000, Loss 31.3100, Time 7.0606
Epoch 110, Score 15.0000, Loss 31.2830, Time 7.1816
Epoch 111, Score 9.0000, Loss 30.5159, Time 7.1856
Epoch 112, Score 14.0000, Loss 31.4435, Time 7.3261
Epoch 113, Score 20.0000, Loss 32.2404, Time 7.2695
Epoch 114, Score 2.0000, Loss 34.3109, Time 7.3753
Epoch 115, Score 15.0000, Loss 37.2096, Time 7.3342
Epoch 116, Score 38.0000, Loss 34.6689, Time 7.4552
Epoch 117, Score 1.0000, Loss 37.6203, Time 7.7416
Epoch 118, Score 1.0000, Loss 37.6193, Time 7.7013
Epoch 119, Score 20.0000, Loss 37.4427, Time 7.6337
Epoch 120, Score 8.0000, Loss 41.6899, Time 7.6181
Epoch 121, Score 24.0000, Loss 41.4087, Time 7.7441
Epoch 122, Score 0.0000, Loss 43.5558, Time 7.6080
Epoch 123, Score 8.0000, Loss 46.2478, Time 7.6126
Epoch 124, Score 6.0000, Loss 41.5756, Time 7.6544
Epoch 125, Score 3.0000, Loss 47.2205, Time 7.8010
Epoch 126, Score 27.0000, Loss 44.2075, Time 7.8871
Epoch 127, Score 1.0000, Loss 46.5297, Time 8.0370
Epoch 128, Score 8.0000, Loss 49.1312, Time 8.0703
Epoch 129, Score 16.0000, Loss 52.9597, Time 8.0874
Epoch 130, Score 12.0000, Loss 55.2416, Time 8.1828
Epoch 131, Score 22.0000, Loss 59.7097, Time 8.2004
Epoch 132, Score 13.0000, Loss 59.1014, Time 8.2618
Epoch 133, Score 0.0000, Loss 60.6797, Time 8.3780
