Using GPU for training.
Epoch 0, Score 2.0000, Loss 447.6424, Time 2.4485
Epoch 1, Score 6.0000, Loss 1820.3506, Time 2.7058
Epoch 2, Score 4.0000, Loss 3287.2209, Time 2.8080
Epoch 3, Score 5.0000, Loss 4448.4312, Time 2.8988
Epoch 4, Score 4.0000, Loss 5203.1650, Time 3.0563
Epoch 5, Score 1.0000, Loss 5915.1650, Time 3.0904
Epoch 6, Score 0.0000, Loss 6411.2402, Time 3.1524
Epoch 7, Score 36.0000, Loss 6815.1099, Time 3.2455
Epoch 8, Score 5.0000, Loss 7271.8911, Time 3.3654
Epoch 9, Score 12.0000, Loss 7468.1826, Time 3.4705
Epoch 10, Score 3.0000, Loss 7734.7808, Time 3.6390
Epoch 11, Score 7.0000, Loss 7905.2637, Time 3.6451
Epoch 12, Score 6.0000, Loss 7904.3481, Time 3.7744
Epoch 13, Score 8.0000, Loss 7859.6299, Time 3.9114
Epoch 14, Score 22.0000, Loss 7570.8286, Time 4.0143
Epoch 15, Score 4.0000, Loss 7468.1548, Time 4.1107
Epoch 16, Score 6.0000, Loss 7174.2271, Time 4.2025
Epoch 17, Score 2.0000, Loss 6875.4688, Time 4.2255
Epoch 18, Score 2.0000, Loss 6781.2246, Time 4.3715
Epoch 19, Score 3.0000, Loss 6251.9458, Time 4.4282
Epoch 20, Score 6.0000, Loss 6157.2881, Time 4.5666
Epoch 21, Score 6.0000, Loss 5911.7124, Time 4.6606
Epoch 22, Score 8.0000, Loss 5584.9639, Time 4.7475
Epoch 23, Score 6.0000, Loss 5618.4238, Time 4.9703
Epoch 24, Score 13.0000, Loss 5164.5776, Time 5.0271
Epoch 25, Score 0.0000, Loss 5026.6006, Time 5.1592
Epoch 26, Score 0.0000, Loss 4901.1558, Time 5.2841
Epoch 27, Score 5.0000, Loss 4613.5649, Time 5.3606
Epoch 28, Score 10.0000, Loss 4630.4927, Time 5.5024
Epoch 29, Score 22.0000, Loss 4300.5488, Time 5.6320
Epoch 30, Score 5.0000, Loss 4210.3213, Time 5.7237
Epoch 31, Score 0.0000, Loss 4069.9468, Time 5.8471
Epoch 32, Score 6.0000, Loss 3775.6130, Time 5.9910
Epoch 33, Score 4.0000, Loss 3770.3818, Time 6.0791
Epoch 34, Score 6.0000, Loss 3658.2493, Time 6.2349
Epoch 35, Score 3.0000, Loss 3544.4517, Time 6.2916
Epoch 36, Score 1.0000, Loss 3450.4116, Time 6.4194
Epoch 37, Score 8.0000, Loss 3274.6182, Time 6.4585
Epoch 38, Score 5.0000, Loss 3246.8418, Time 6.6677
Epoch 39, Score 1.0000, Loss 3116.0779, Time 6.7801
Epoch 40, Score 0.0000, Loss 3090.8325, Time 6.7918
Epoch 41, Score 36.0000, Loss 2997.2188, Time 6.9952
Epoch 42, Score 11.0000, Loss 2791.3501, Time 7.0441
Epoch 43, Score 6.0000, Loss 2833.4568, Time 7.2209
Epoch 44, Score 6.0000, Loss 2682.9199, Time 7.3559
Epoch 45, Score 0.0000, Loss 2712.3684, Time 7.4730
Epoch 46, Score 0.0000, Loss 2663.4331, Time 7.5967
Epoch 47, Score 3.0000, Loss 2567.6387, Time 7.6938
Epoch 48, Score 8.0000, Loss 2576.0249, Time 7.8772
Epoch 49, Score 6.0000, Loss 2481.4341, Time 7.9977
Epoch 50, Score 7.0000, Loss 2500.6680, Time 8.0725
Epoch 51, Score 7.0000, Loss 2487.8718, Time 8.2469
Epoch 52, Score 9.0000, Loss 2364.2336, Time 8.3743
Epoch 53, Score 3.0000, Loss 2399.7144, Time 8.5277
Epoch 54, Score 6.0000, Loss 2327.1748, Time 8.5797
Epoch 55, Score 8.0000, Loss 2340.6133, Time 8.6776
Epoch 56, Score 5.0000, Loss 2370.1338, Time 8.8816
Epoch 57, Score 8.0000, Loss 2263.8933, Time 8.9470
Epoch 58, Score 3.0000, Loss 2292.4722, Time 9.0464
Epoch 59, Score 6.0000, Loss 2265.1772, Time 9.2233
Epoch 60, Score 0.0000, Loss 2290.0925, Time 9.4690
Epoch 61, Score 2.0000, Loss 2248.5974, Time 9.4828
Epoch 62, Score 6.0000, Loss 2249.3914, Time 9.5684
Epoch 63, Score 6.0000, Loss 2278.9834, Time 9.7344
Epoch 64, Score 5.0000, Loss 2231.1086, Time 9.9492
Epoch 65, Score 4.0000, Loss 2201.6484, Time 9.9845
Epoch 66, Score 0.0000, Loss 2225.8518, Time 10.1648
Epoch 67, Score 5.0000, Loss 2247.8965, Time 10.2597
Epoch 68, Score 3.0000, Loss 2240.0549, Time 10.4543
Epoch 69, Score 6.0000, Loss 2275.7754, Time 10.5865
Epoch 70, Score 6.0000, Loss 2235.5691, Time 10.6852
Epoch 71, Score 7.0000, Loss 2246.7998, Time 10.8453
Epoch 72, Score 3.0000, Loss 2212.9631, Time 10.9399
Epoch 73, Score 6.0000, Loss 2240.4463, Time 11.0910
Epoch 74, Score 11.0000, Loss 2258.2524, Time 11.1843
Epoch 75, Score 5.0000, Loss 2265.9368, Time 11.3981
Epoch 76, Score 3.0000, Loss 2248.8906, Time 11.5202
Epoch 77, Score 4.0000, Loss 2215.0684, Time 11.6349
Epoch 78, Score 5.0000, Loss 2242.2979, Time 11.7551
Epoch 79, Score 0.0000, Loss 2224.6592, Time 11.8943
Epoch 80, Score 4.0000, Loss 2259.9998, Time 12.0644
Epoch 81, Score 0.0000, Loss 2245.5491, Time 12.1547
Epoch 82, Score 4.0000, Loss 2207.0269, Time 12.2536
Epoch 83, Score 1.0000, Loss 2219.0298, Time 12.4641
Epoch 84, Score 6.0000, Loss 2235.0183, Time 12.5892
Epoch 85, Score 6.0000, Loss 2236.2534, Time 12.6338
Epoch 86, Score 0.0000, Loss 2267.7939, Time 12.9216
Epoch 87, Score 1.0000, Loss 2238.4624, Time 12.8478
Epoch 88, Score 4.0000, Loss 2245.3196, Time 13.2299
Epoch 89, Score 1.0000, Loss 2164.3826, Time 13.2803
Epoch 90, Score 0.0000, Loss 2212.1687, Time 13.4772
Epoch 91, Score 0.0000, Loss 2229.9050, Time 13.6498
Epoch 92, Score 2.0000, Loss 2223.9932, Time 13.6952
Epoch 93, Score 0.0000, Loss 2193.6123, Time 13.9588
Epoch 94, Score 8.0000, Loss 2177.9705, Time 13.3708
Epoch 95, Score 5.0000, Loss 2205.0840, Time 13.3865
Epoch 96, Score 5.0000, Loss 2193.7104, Time 13.9998
Epoch 97, Score 4.0000, Loss 2229.3765, Time 14.4323
Epoch 98, Score 5.0000, Loss 2188.1487, Time 14.4714
Epoch 99, Score 6.0000, Loss 2211.8765, Time 14.7265
Epoch 100, Score 6.0000, Loss 2167.1699, Time 14.8711
Epoch 101, Score 1.0000, Loss 2200.5637, Time 15.0280
Epoch 102, Score 6.0000, Loss 2203.0225, Time 15.2156
Epoch 103, Score 13.0000, Loss 2192.2742, Time 15.2170
Epoch 104, Score 7.0000, Loss 2180.7437, Time 15.4385
Epoch 105, Score 2.0000, Loss 2139.8235, Time 15.5309
Epoch 106, Score 5.0000, Loss 2191.6104, Time 15.6602
Epoch 107, Score 0.0000, Loss 2180.5979, Time 15.8134
Epoch 108, Score 8.0000, Loss 2185.1462, Time 15.9668
Epoch 109, Score 1.0000, Loss 2149.1626, Time 16.1798
Epoch 110, Score 7.0000, Loss 2163.6104, Time 16.4340
Epoch 111, Score 1.0000, Loss 2177.1560, Time 16.3504
Epoch 112, Score 7.0000, Loss 2160.1609, Time 16.5042
Epoch 113, Score 1.0000, Loss 2140.0173, Time 16.7642
Epoch 114, Score 4.0000, Loss 2170.2568, Time 16.8348
Epoch 115, Score 1.0000, Loss 2134.5376, Time 17.1977
Epoch 116, Score 2.0000, Loss 2154.5334, Time 17.2084
Epoch 117, Score 4.0000, Loss 2146.2983, Time 17.4112
Epoch 118, Score 5.0000, Loss 2166.6516, Time 17.6126
Epoch 119, Score 6.0000, Loss 2131.9475, Time 17.5323
Epoch 120, Score 1.0000, Loss 2130.3357, Time 17.8927
Epoch 121, Score 3.0000, Loss 2122.6482, Time 17.9276
Epoch 122, Score 3.0000, Loss 2125.8523, Time 18.1810
Epoch 123, Score 4.0000, Loss 2119.8652, Time 18.3307
Epoch 124, Score 3.0000, Loss 2149.0596, Time 18.5101
Epoch 125, Score 1.0000, Loss 2110.5950, Time 18.6353
Epoch 126, Score 8.0000, Loss 2105.8633, Time 18.7664
Epoch 127, Score 1.0000, Loss 2099.6348, Time 18.9702
Epoch 128, Score 2.0000, Loss 2099.3721, Time 19.0249
Epoch 129, Score 4.0000, Loss 2097.5793, Time 19.1828
Epoch 130, Score 4.0000, Loss 2071.6191, Time 19.5481
Epoch 131, Score 1.0000, Loss 2116.3381, Time 19.6590
Epoch 132, Score 4.0000, Loss 2103.7903, Time 19.6703
Epoch 133, Score 2.0000, Loss 2059.0439, Time 19.7955
Epoch 134, Score 0.0000, Loss 2073.8750, Time 20.0294
Epoch 135, Score 1.0000, Loss 2089.3630, Time 20.1417
Epoch 136, Score 1.0000, Loss 2103.2168, Time 20.3328
Epoch 137, Score 1.0000, Loss 2059.6799, Time 20.4612
Epoch 138, Score 1.0000, Loss 2071.8872, Time 20.6290
Epoch 139, Score 5.0000, Loss 2083.8330, Time 20.7114
Epoch 140, Score 0.0000, Loss 2084.8748, Time 20.9520
Epoch 141, Score 5.0000, Loss 2039.4308, Time 21.0375
Epoch 142, Score 3.0000, Loss 2044.8694, Time 21.2202
Epoch 143, Score 0.0000, Loss 2051.7766, Time 21.4234
Epoch 144, Score 1.0000, Loss 2012.1594, Time 21.6486
Epoch 145, Score 6.0000, Loss 2043.0565, Time 21.8220
Epoch 146, Score 0.0000, Loss 2044.2295, Time 21.8737
