Using GPU for training.
Epoch 0, Score 20.0000, Loss 222.3831, Time 2.3473
Epoch 1, Score 6.0000, Loss 1022.6521, Time 2.6113
Epoch 2, Score 9.0000, Loss 1978.9146, Time 2.6819
Epoch 3, Score 0.0000, Loss 2947.0825, Time 2.7910
Epoch 4, Score 8.0000, Loss 3758.9170, Time 2.8960
Epoch 5, Score 8.0000, Loss 4355.4673, Time 2.9691
Epoch 6, Score 7.0000, Loss 5031.8359, Time 3.0618
Epoch 7, Score 2.0000, Loss 5475.6602, Time 3.1758
Epoch 8, Score 5.0000, Loss 5828.9443, Time 3.2414
Epoch 9, Score 1.0000, Loss 6026.6187, Time 3.3598
Epoch 10, Score 4.0000, Loss 6099.7524, Time 3.4441
Epoch 11, Score 1.0000, Loss 6219.5952, Time 3.6026
Epoch 12, Score 7.0000, Loss 6170.8364, Time 3.6248
Epoch 13, Score 7.0000, Loss 6175.3574, Time 3.7576
Epoch 14, Score 1.0000, Loss 6059.9937, Time 3.8430
Epoch 15, Score 0.0000, Loss 5941.4961, Time 3.9556
Epoch 16, Score 5.0000, Loss 5851.3076, Time 4.0172
Epoch 17, Score 2.0000, Loss 5682.9800, Time 4.1419
Epoch 18, Score 6.0000, Loss 5563.4751, Time 4.3310
Epoch 19, Score 0.0000, Loss 5431.6699, Time 4.3602
Epoch 20, Score 4.0000, Loss 5306.3330, Time 4.4452
Epoch 21, Score 2.0000, Loss 5161.5430, Time 4.5411
Epoch 22, Score 3.0000, Loss 4926.8145, Time 4.6699
Epoch 23, Score 3.0000, Loss 4796.0254, Time 4.7143
Epoch 24, Score 3.0000, Loss 4670.8584, Time 4.8257
Epoch 25, Score 7.0000, Loss 4490.3032, Time 4.9284
Epoch 26, Score 0.0000, Loss 4385.2256, Time 5.0318
Epoch 27, Score 0.0000, Loss 4245.9326, Time 5.1366
Epoch 28, Score 6.0000, Loss 4140.8232, Time 5.2100
Epoch 29, Score 4.0000, Loss 4045.9609, Time 5.3210
Epoch 30, Score 4.0000, Loss 3990.0703, Time 5.3928
Epoch 31, Score 5.0000, Loss 3925.2861, Time 5.5061
Epoch 32, Score 4.0000, Loss 3872.6572, Time 5.5831
Epoch 33, Score 4.0000, Loss 3830.4812, Time 5.6808
Epoch 34, Score 2.0000, Loss 3759.1719, Time 5.7688
Epoch 35, Score 5.0000, Loss 3790.7000, Time 5.8518
Epoch 36, Score 0.0000, Loss 3759.0908, Time 5.9957
Epoch 37, Score 0.0000, Loss 3778.5100, Time 6.0368
Epoch 38, Score 0.0000, Loss 3755.6462, Time 6.1670
Epoch 39, Score 0.0000, Loss 3752.7937, Time 6.2700
Epoch 40, Score 3.0000, Loss 3780.5569, Time 6.3586
Epoch 41, Score 6.0000, Loss 3750.7854, Time 6.4866
Epoch 42, Score 1.0000, Loss 3796.6184, Time 6.5336
Epoch 43, Score 4.0000, Loss 3767.5400, Time 6.6796
Epoch 44, Score 5.0000, Loss 3762.9944, Time 6.7112
Epoch 45, Score 6.0000, Loss 3744.7537, Time 6.8076
Epoch 46, Score 4.0000, Loss 3732.8374, Time 6.9119
Epoch 47, Score 0.0000, Loss 3690.6086, Time 7.0356
Epoch 48, Score 4.0000, Loss 3736.4731, Time 7.2284
Epoch 49, Score 5.0000, Loss 3701.7588, Time 7.5215
Epoch 50, Score 6.0000, Loss 3723.3118, Time 7.3164
Epoch 51, Score 2.0000, Loss 3701.7129, Time 7.4370
Epoch 52, Score 4.0000, Loss 3714.2000, Time 7.5135
Epoch 53, Score 5.0000, Loss 3723.6409, Time 7.6149
Epoch 54, Score 1.0000, Loss 3709.8457, Time 7.6955
Epoch 55, Score 3.0000, Loss 3706.1841, Time 7.7671
Epoch 56, Score 2.0000, Loss 3661.7476, Time 7.8933
Epoch 57, Score 6.0000, Loss 3703.6538, Time 7.9931
Epoch 58, Score 1.0000, Loss 3696.6108, Time 8.0502
Epoch 59, Score 2.0000, Loss 3713.3057, Time 8.1643
Epoch 60, Score 3.0000, Loss 3729.0869, Time 8.2477
Epoch 61, Score 0.0000, Loss 3700.6743, Time 8.3672
Epoch 62, Score 2.0000, Loss 3258.5068, Time 8.4488
Epoch 63, Score 3.0000, Loss 2874.5562, Time 8.5315
Epoch 64, Score 6.0000, Loss 3084.5403, Time 8.6504
Epoch 65, Score 5.0000, Loss 3134.7698, Time 8.7198
Epoch 66, Score 6.0000, Loss 3000.9702, Time 8.8091
Epoch 67, Score 2.0000, Loss 2968.9644, Time 8.9308
Epoch 68, Score 3.0000, Loss 2924.4700, Time 9.0413
Epoch 69, Score 6.0000, Loss 2930.4307, Time 9.1120
Epoch 70, Score 3.0000, Loss 2944.4050, Time 9.2146
Epoch 71, Score 2.0000, Loss 2953.3679, Time 9.3465
Epoch 72, Score 7.0000, Loss 2940.5381, Time 9.3733
Epoch 73, Score 4.0000, Loss 2898.5974, Time 9.5076
