Using GPU for training.
Epoch 0, Score 52.0000, Loss 0.4504, Time 0.3050
Epoch 1, Score 14.0000, Loss 0.0098, Time 0.4561
Epoch 2, Score 2.0000, Loss 0.0014, Time 0.4947
Epoch 3, Score 6.0000, Loss 0.0010, Time 0.4571
Epoch 4, Score 3.0000, Loss 0.0008, Time 0.4647
Epoch 5, Score 12.0000, Loss 0.0007, Time 0.4568
Epoch 6, Score 6.0000, Loss 0.0007, Time 0.4741
Epoch 7, Score 13.0000, Loss 0.0005, Time 0.4564
Epoch 8, Score 5.0000, Loss 0.0005, Time 0.4629
Epoch 9, Score 14.0000, Loss 0.0005, Time 0.4886
Epoch 10, Score 27.0000, Loss 0.0547, Time 0.4746
Epoch 11, Score 2.0000, Loss 0.0337, Time 0.4962
Epoch 12, Score 7.0000, Loss 0.0355, Time 0.4818
Epoch 13, Score 6.0000, Loss 0.0330, Time 0.4754
Epoch 14, Score 6.0000, Loss 0.0300, Time 0.4781
Epoch 15, Score 16.0000, Loss 0.0263, Time 0.4865
Epoch 16, Score 35.0000, Loss 0.0245, Time 0.4785
Epoch 17, Score 16.0000, Loss 0.0253, Time 0.4823
Epoch 18, Score 1.0000, Loss 0.0249, Time 0.5016
Epoch 19, Score 57.0000, Loss 0.0229, Time 0.4840
Epoch 20, Score 27.0000, Loss 0.0943, Time 0.4915
Epoch 21, Score 42.0000, Loss 0.0693, Time 0.5021
Epoch 22, Score 2.0000, Loss 0.0614, Time 0.4945
Epoch 23, Score 16.0000, Loss 0.0600, Time 0.5079
Epoch 24, Score 13.0000, Loss 0.0580, Time 0.5025
Epoch 25, Score 3.0000, Loss 0.0535, Time 0.5007
Epoch 26, Score 57.0000, Loss 0.0512, Time 0.5051
Epoch 27, Score 1.0000, Loss 0.0525, Time 0.5192
Epoch 28, Score 13.0000, Loss 0.0485, Time 0.5098
Epoch 29, Score 28.0000, Loss 0.0523, Time 0.5274
Epoch 30, Score 7.0000, Loss 0.0929, Time 0.5281
Epoch 31, Score 47.0000, Loss 0.0782, Time 0.5140
Epoch 32, Score 44.0000, Loss 0.0710, Time 0.5276
Epoch 33, Score 23.0000, Loss 0.0643, Time 0.5292
Epoch 34, Score 1.0000, Loss 0.0622, Time 0.5363
Epoch 35, Score 45.0000, Loss 0.0610, Time 0.5259
Epoch 36, Score 9.0000, Loss 0.0637, Time 0.5332
Epoch 37, Score 19.0000, Loss 0.0670, Time 0.5306
Epoch 38, Score 87.0000, Loss 0.0582, Time 0.5188
Epoch 39, Score 23.0000, Loss 0.0614, Time 0.5325
Epoch 40, Score 72.0000, Loss 0.1054, Time 0.5611
Epoch 41, Score 40.0000, Loss 0.0884, Time 0.5430
Epoch 42, Score 53.0000, Loss 0.0867, Time 0.5362
Epoch 43, Score 91.0000, Loss 0.0785, Time 0.5322
Epoch 44, Score 48.0000, Loss 0.0738, Time 0.5471
Epoch 45, Score 80.0000, Loss 0.0764, Time 0.5372
Epoch 46, Score 23.0000, Loss 0.0743, Time 0.5550
Epoch 47, Score 123.0000, Loss 0.0725, Time 0.5465
Epoch 48, Score 81.0000, Loss 0.0734, Time 0.5541
Epoch 49, Score 52.0000, Loss 0.0627, Time 0.5506
Epoch 50, Score 79.0000, Loss 0.1207, Time 0.5630
Epoch 51, Score 43.0000, Loss 0.0959, Time 0.5565
Epoch 52, Score 25.0000, Loss 0.1039, Time 0.5553
Epoch 53, Score 49.0000, Loss 0.0893, Time 0.5659
Epoch 54, Score 81.0000, Loss 0.0970, Time 0.5663
Epoch 55, Score 4.0000, Loss 0.0893, Time 0.5776
Epoch 56, Score 49.0000, Loss 0.0888, Time 0.5736
Epoch 57, Score 2.0000, Loss 0.0846, Time 0.5792
Epoch 58, Score 102.0000, Loss 0.0778, Time 0.5660
Epoch 59, Score 85.0000, Loss 0.0730, Time 0.5805
Epoch 60, Score 2.0000, Loss 0.1426, Time 0.5800
Epoch 61, Score 102.0000, Loss 0.1210, Time 0.5724
Epoch 62, Score 3.0000, Loss 0.1121, Time 0.5795
Epoch 63, Score 103.0000, Loss 0.1211, Time 0.5769
Epoch 64, Score 4.0000, Loss 0.1147, Time 0.5893
Epoch 65, Score 104.0000, Loss 0.1349, Time 0.5850
Epoch 66, Score 85.0000, Loss 0.1336, Time 0.5925
Epoch 67, Score 185.0000, Loss 0.1298, Time 0.5943
Epoch 68, Score 86.0000, Loss 0.1260, Time 0.6008
Epoch 69, Score 31.0000, Loss 0.1410, Time 0.6003
Epoch 70, Score 131.0000, Loss 0.2212, Time 0.5964
Epoch 71, Score 47.0000, Loss 0.1841, Time 0.6077
Epoch 72, Score 147.0000, Loss 0.1913, Time 0.6085
