Using GPU for training.
Epoch 0, Score 5.0000, Loss 6.0250, Time 0.4612
Epoch 1, Score 1.0000, Loss 1.4085, Time 0.6035
Epoch 2, Score 23.0000, Loss 1.3043, Time 0.6183
Epoch 3, Score 11.0000, Loss 1.2839, Time 0.5944
Epoch 4, Score 11.0000, Loss 1.3041, Time 0.6013
Epoch 5, Score 3.0000, Loss 1.3341, Time 0.6165
Epoch 6, Score 46.0000, Loss 1.3372, Time 0.6064
Epoch 7, Score 33.0000, Loss 1.3219, Time 0.6140
Epoch 8, Score 20.0000, Loss 1.2825, Time 0.6294
Epoch 9, Score 6.0000, Loss 1.2987, Time 0.6275
Epoch 10, Score 39.0000, Loss 0.5257, Time 0.6233
Epoch 11, Score 22.0000, Loss 0.4431, Time 0.6294
Epoch 12, Score 17.0000, Loss 0.4015, Time 0.6327
Epoch 13, Score 8.0000, Loss 0.3927, Time 0.6486
Epoch 14, Score 86.0000, Loss 0.4150, Time 0.6215
Epoch 15, Score 18.0000, Loss 0.4255, Time 0.6618
Epoch 16, Score 10.0000, Loss 0.3901, Time 0.6456
Epoch 17, Score 7.0000, Loss 0.3750, Time 0.6298
Epoch 18, Score 15.0000, Loss 0.3576, Time 0.6531
Epoch 19, Score 41.0000, Loss 0.3933, Time 0.6430
Epoch 20, Score 18.0000, Loss 0.5255, Time 0.6645
Epoch 21, Score 20.0000, Loss 0.5207, Time 0.6620
Epoch 22, Score 13.0000, Loss 0.5445, Time 0.6740
Epoch 23, Score 15.0000, Loss 0.5366, Time 0.6577
Epoch 24, Score 63.0000, Loss 0.5543, Time 0.6511
Epoch 25, Score 76.0000, Loss 0.5843, Time 0.6628
Epoch 26, Score 72.0000, Loss 0.6049, Time 0.6529
Epoch 27, Score 39.0000, Loss 0.5515, Time 0.6651
Epoch 28, Score 33.0000, Loss 0.5814, Time 0.6689
Epoch 29, Score 33.0000, Loss 0.5934, Time 0.6844
Epoch 30, Score 52.0000, Loss 0.8412, Time 0.6793
Epoch 31, Score 63.0000, Loss 0.8222, Time 0.6748
Epoch 32, Score 28.0000, Loss 0.8730, Time 0.6830
Epoch 33, Score 1.0000, Loss 0.8390, Time 0.6796
Epoch 34, Score 85.0000, Loss 0.8487, Time 0.6796
Epoch 35, Score 60.0000, Loss 0.8801, Time 0.6791
Epoch 36, Score 51.0000, Loss 0.8633, Time 0.6841
Epoch 37, Score 52.0000, Loss 0.8522, Time 0.6851
Epoch 38, Score 94.0000, Loss 0.8631, Time 0.6900
Epoch 39, Score 2.0000, Loss 0.8472, Time 0.6977
Epoch 40, Score 38.0000, Loss 0.9967, Time 0.6970
Epoch 41, Score 16.0000, Loss 1.0216, Time 0.7089
Epoch 42, Score 116.0000, Loss 1.0036, Time 0.6932
Epoch 43, Score 67.0000, Loss 0.9947, Time 0.7049
Epoch 44, Score 31.0000, Loss 1.0144, Time 0.6998
Epoch 45, Score 4.0000, Loss 1.0250, Time 0.7139
Epoch 46, Score 104.0000, Loss 1.0111, Time 0.7034
Epoch 47, Score 61.0000, Loss 1.0482, Time 0.7213
Epoch 48, Score 47.0000, Loss 1.0627, Time 0.7185
Epoch 49, Score 66.0000, Loss 1.0188, Time 0.7200
Epoch 50, Score 166.0000, Loss 1.1279, Time 0.7116
Epoch 51, Score 69.0000, Loss 1.1079, Time 0.7181
Epoch 52, Score 70.0000, Loss 1.0984, Time 0.7210
Epoch 53, Score 170.0000, Loss 1.0851, Time 0.7262
Epoch 54, Score 97.0000, Loss 1.1116, Time 0.7412
Epoch 55, Score 0.0000, Loss 1.1284, Time 0.7355
Epoch 56, Score 59.0000, Loss 1.1372, Time 0.7396
Epoch 57, Score 159.0000, Loss 1.1622, Time 0.7318
Epoch 58, Score 62.0000, Loss 1.1346, Time 0.7392
Epoch 59, Score 162.0000, Loss 1.1423, Time 0.7341
Epoch 60, Score 83.0000, Loss 1.2099, Time 0.7528
Epoch 61, Score 81.0000, Loss 1.1837, Time 0.7451
Epoch 62, Score 181.0000, Loss 1.2054, Time 0.7428
Epoch 63, Score 48.0000, Loss 1.1462, Time 0.7613
Epoch 64, Score 30.0000, Loss 1.1537, Time 0.7558
Epoch 65, Score 130.0000, Loss 1.1595, Time 0.7520
Epoch 66, Score 33.0000, Loss 1.2202, Time 0.7635
Epoch 67, Score 133.0000, Loss 1.2160, Time 0.7556
Epoch 68, Score 36.0000, Loss 1.2294, Time 0.7661
Epoch 69, Score 136.0000, Loss 1.2215, Time 0.7566
Epoch 70, Score 39.0000, Loss 1.0848, Time 0.7763
Epoch 71, Score 139.0000, Loss 1.1570, Time 0.7663
Epoch 72, Score 42.0000, Loss 1.1384, Time 0.7748
Epoch 73, Score 142.0000, Loss 1.1090, Time 0.7763
Epoch 74, Score 45.0000, Loss 1.1331, Time 0.7841
Epoch 75, Score 145.0000, Loss 1.1285, Time 0.7847
Epoch 76, Score 79.0000, Loss 1.0985, Time 0.7869
Epoch 77, Score 179.0000, Loss 1.0899, Time 0.7806
Epoch 78, Score 82.0000, Loss 1.1061, Time 0.7861
Epoch 79, Score 182.0000, Loss 1.0879, Time 0.7901
Epoch 80, Score 19.0000, Loss 1.1350, Time 0.8120
Epoch 81, Score 119.0000, Loss 1.1305, Time 0.8001
Epoch 82, Score 92.0000, Loss 1.1270, Time 0.8113
Epoch 83, Score 82.0000, Loss 1.1183, Time 0.8073
Epoch 84, Score 182.0000, Loss 1.1392, Time 0.7982
Epoch 85, Score 8.0000, Loss 1.1367, Time 0.8210
Epoch 86, Score 86.0000, Loss 1.1435, Time 0.8133
Epoch 87, Score 5.0000, Loss 1.1457, Time 0.8251
Epoch 88, Score 87.0000, Loss 1.1166, Time 0.8176
Epoch 89, Score 187.0000, Loss 1.1225, Time 0.8112
Epoch 90, Score 45.0000, Loss 1.1341, Time 0.8372
Epoch 91, Score 145.0000, Loss 1.1220, Time 0.8151
Epoch 92, Score 7.0000, Loss 1.1491, Time 0.8372
Epoch 93, Score 97.0000, Loss 1.1237, Time 0.8271
Epoch 94, Score 0.0000, Loss 1.1349, Time 0.8346
Epoch 95, Score 100.0000, Loss 1.1721, Time 0.8276
Epoch 96, Score 3.0000, Loss 1.1307, Time 0.8385
Epoch 97, Score 103.0000, Loss 1.1503, Time 0.8313
Epoch 98, Score 13.0000, Loss 1.1366, Time 0.8393
Epoch 99, Score 113.0000, Loss 1.1754, Time 0.8410
Epoch 100, Score 54.0000, Loss 1.1795, Time 0.8580
Epoch 101, Score 154.0000, Loss 1.1919, Time 0.8396
Epoch 102, Score 57.0000, Loss 1.1717, Time 0.8502
Epoch 103, Score 76.0000, Loss 1.1849, Time 0.8566
Epoch 104, Score 20.0000, Loss 1.1985, Time 0.8594
Epoch 105, Score 120.0000, Loss 1.1874, Time 0.8529
Epoch 106, Score 23.0000, Loss 1.1889, Time 0.8635
Epoch 107, Score 34.0000, Loss 1.2173, Time 0.8767
Epoch 108, Score 66.0000, Loss 1.1981, Time 0.8671
Epoch 109, Score 24.0000, Loss 1.1843, Time 0.8707
Epoch 110, Score 15.0000, Loss 1.1600, Time 0.8825
Epoch 111, Score 115.0000, Loss 1.1991, Time 0.8672
Epoch 112, Score 18.0000, Loss 1.2008, Time 0.8772
Epoch 113, Score 82.0000, Loss 1.1714, Time 0.8819
Epoch 114, Score 182.0000, Loss 1.1924, Time 0.8742
Epoch 115, Score 85.0000, Loss 1.1878, Time 0.8941
Epoch 116, Score 185.0000, Loss 1.1736, Time 0.8842
Epoch 117, Score 63.0000, Loss 1.1560, Time 0.9117
Epoch 118, Score 163.0000, Loss 1.2000, Time 0.8831
Epoch 119, Score 43.0000, Loss 1.1899, Time 0.9039
Epoch 120, Score 143.0000, Loss 1.2130, Time 0.8893
Epoch 121, Score 46.0000, Loss 1.2136, Time 0.8992
Epoch 122, Score 30.0000, Loss 1.2326, Time 0.9085
Epoch 123, Score 130.0000, Loss 1.2404, Time 0.8962
Epoch 124, Score 33.0000, Loss 1.1812, Time 0.9183
Epoch 125, Score 133.0000, Loss 1.2191, Time 0.9059
Epoch 126, Score 60.0000, Loss 1.2581, Time 0.9188
Epoch 127, Score 160.0000, Loss 1.2204, Time 0.9111
Epoch 128, Score 17.0000, Loss 1.2343, Time 0.9282
Epoch 129, Score 56.0000, Loss 1.2053, Time 0.9328
Epoch 130, Score 156.0000, Loss 1.2761, Time 0.9137
Epoch 131, Score 63.0000, Loss 1.2938, Time 0.9300
Epoch 132, Score 163.0000, Loss 1.3020, Time 0.9166
Epoch 133, Score 66.0000, Loss 1.2852, Time 0.9280
Epoch 134, Score 86.0000, Loss 1.2605, Time 0.9373
Epoch 135, Score 48.0000, Loss 1.3102, Time 0.9507
Epoch 136, Score 27.0000, Loss 1.2499, Time 0.9464
Epoch 137, Score 127.0000, Loss 1.2649, Time 0.9293
Epoch 138, Score 30.0000, Loss 1.2605, Time 0.9397
Epoch 139, Score 130.0000, Loss 1.2923, Time 0.9338
Epoch 140, Score 33.0000, Loss 1.1946, Time 0.9425
Epoch 141, Score 133.0000, Loss 1.2251, Time 0.9381
Epoch 142, Score 36.0000, Loss 1.2488, Time 0.9508
Epoch 143, Score 36.0000, Loss 1.2153, Time 0.9532
Epoch 144, Score 136.0000, Loss 1.2206, Time 0.9479
Epoch 145, Score 39.0000, Loss 1.2047, Time 0.9587
Epoch 146, Score 78.0000, Loss 1.2103, Time 0.9635
Epoch 147, Score 40.0000, Loss 1.2361, Time 0.9740
Epoch 148, Score 47.0000, Loss 1.2767, Time 0.9789
Epoch 149, Score 66.0000, Loss 1.2307, Time 0.9793
