Using GPU for training.
Epoch 0, Score 13.0000, Loss 2.5940, Time 0.4484
Epoch 1, Score 11.0000, Loss 0.3975, Time 0.6162
Epoch 2, Score 5.0000, Loss 0.3554, Time 0.6386
Epoch 3, Score 1.0000, Loss 0.3710, Time 0.6295
Epoch 4, Score 8.0000, Loss 0.3576, Time 0.6327
Epoch 5, Score 6.0000, Loss 0.3702, Time 0.6428
Epoch 6, Score 4.0000, Loss 0.3591, Time 0.6423
Epoch 7, Score 18.0000, Loss 0.3631, Time 0.6150
Epoch 8, Score 20.0000, Loss 0.3706, Time 0.6447
Epoch 9, Score 2.0000, Loss 0.3714, Time 0.6503
Epoch 10, Score 22.0000, Loss 0.2897, Time 0.6277
Epoch 11, Score 18.0000, Loss 0.2488, Time 0.6416
Epoch 12, Score 27.0000, Loss 0.2268, Time 0.6605
Epoch 13, Score 1.0000, Loss 0.2126, Time 0.6627
Epoch 14, Score 10.0000, Loss 0.2083, Time 0.6666
Epoch 15, Score 7.0000, Loss 0.2053, Time 0.6798
Epoch 16, Score 9.0000, Loss 0.2067, Time 0.6711
Epoch 17, Score 6.0000, Loss 0.2015, Time 0.6423
Epoch 18, Score 18.0000, Loss 0.2026, Time 0.6528
Epoch 19, Score 17.0000, Loss 0.1949, Time 0.6593
Epoch 20, Score 7.0000, Loss 0.6220, Time 0.6739
Epoch 21, Score 44.0000, Loss 0.6086, Time 0.6635
Epoch 22, Score 0.0000, Loss 0.6370, Time 0.6746
Epoch 23, Score 13.0000, Loss 0.6514, Time 0.6601
Epoch 24, Score 21.0000, Loss 0.6713, Time 0.6757
Epoch 25, Score 97.0000, Loss 0.6706, Time 0.6567
Epoch 26, Score 17.0000, Loss 0.6849, Time 0.6817
Epoch 27, Score 12.0000, Loss 0.6913, Time 0.6830
Epoch 28, Score 20.0000, Loss 0.6916, Time 0.6732
Epoch 29, Score 10.0000, Loss 0.6939, Time 0.6902
Epoch 30, Score 6.0000, Loss 1.0121, Time 0.6858
Epoch 31, Score 9.0000, Loss 1.0259, Time 0.6838
Epoch 32, Score 13.0000, Loss 1.0243, Time 0.6780
Epoch 33, Score 113.0000, Loss 1.0448, Time 0.6766
Epoch 34, Score 41.0000, Loss 1.0359, Time 0.6855
Epoch 35, Score 70.0000, Loss 1.0660, Time 0.6890
Epoch 36, Score 27.0000, Loss 1.0366, Time 0.6949
Epoch 37, Score 9.0000, Loss 1.0472, Time 0.6924
Epoch 38, Score 109.0000, Loss 1.0414, Time 0.6783
Epoch 39, Score 59.0000, Loss 1.0392, Time 0.6977
Epoch 40, Score 30.0000, Loss 1.1679, Time 0.7056
Epoch 41, Score 39.0000, Loss 1.1659, Time 0.7052
Epoch 42, Score 81.0000, Loss 1.1378, Time 0.7057
Epoch 43, Score 181.0000, Loss 1.1499, Time 0.7018
Epoch 44, Score 1.0000, Loss 1.1692, Time 0.7337
Epoch 45, Score 50.0000, Loss 1.1626, Time 0.7064
Epoch 46, Score 5.0000, Loss 1.1789, Time 0.7261
Epoch 47, Score 105.0000, Loss 1.1537, Time 0.7109
Epoch 48, Score 5.0000, Loss 1.1518, Time 0.7226
Epoch 49, Score 35.0000, Loss 1.1870, Time 0.7293
Epoch 50, Score 47.0000, Loss 1.1015, Time 0.7317
Epoch 51, Score 147.0000, Loss 1.0850, Time 0.7193
Epoch 52, Score 7.0000, Loss 1.1073, Time 0.7390
Epoch 53, Score 10.0000, Loss 1.1177, Time 0.7489
Epoch 54, Score 86.0000, Loss 1.0963, Time 0.7380
Epoch 55, Score 68.0000, Loss 1.1210, Time 0.7406
Epoch 56, Score 168.0000, Loss 1.1203, Time 0.7322
Epoch 57, Score 70.0000, Loss 1.1371, Time 0.7456
Epoch 58, Score 89.0000, Loss 1.1250, Time 0.7507
Epoch 59, Score 6.0000, Loss 1.0926, Time 0.7520
Epoch 60, Score 13.0000, Loss 1.1625, Time 0.7644
Epoch 61, Score 65.0000, Loss 1.1712, Time 0.7596
Epoch 62, Score 15.0000, Loss 1.1532, Time 0.7562
Epoch 63, Score 17.0000, Loss 1.1421, Time 0.7645
Epoch 64, Score 46.0000, Loss 1.1513, Time 0.7576
Epoch 65, Score 146.0000, Loss 1.1537, Time 0.7512
Epoch 66, Score 48.0000, Loss 1.1331, Time 0.7615
Epoch 67, Score 148.0000, Loss 1.1433, Time 0.7557
Epoch 68, Score 50.0000, Loss 1.1530, Time 0.7656
Epoch 69, Score 85.0000, Loss 1.1628, Time 0.7679
Epoch 70, Score 185.0000, Loss 1.1812, Time 0.7662
Epoch 71, Score 58.0000, Loss 1.1728, Time 0.7856
Epoch 72, Score 158.0000, Loss 1.1920, Time 0.7691
Epoch 73, Score 15.0000, Loss 1.1684, Time 0.7960
Epoch 74, Score 115.0000, Loss 1.1638, Time 0.7801
Epoch 75, Score 15.0000, Loss 1.1883, Time 0.7974
Epoch 76, Score 30.0000, Loss 1.1654, Time 0.8022
Epoch 77, Score 62.0000, Loss 1.1570, Time 0.7995
Epoch 78, Score 162.0000, Loss 1.1864, Time 0.7858
Epoch 79, Score 86.0000, Loss 1.1875, Time 0.8059
Epoch 80, Score 0.0000, Loss 1.1818, Time 0.8067
Epoch 81, Score 69.0000, Loss 1.1874, Time 0.8115
Epoch 82, Score 7.0000, Loss 1.1751, Time 0.8012
Epoch 83, Score 107.0000, Loss 1.1694, Time 0.8009
Epoch 84, Score 13.0000, Loss 1.1810, Time 0.8170
Epoch 85, Score 31.0000, Loss 1.1866, Time 0.8199
Epoch 86, Score 14.0000, Loss 1.2057, Time 0.8220
Epoch 87, Score 114.0000, Loss 1.1855, Time 0.8102
Epoch 88, Score 55.0000, Loss 1.2019, Time 0.8209
Epoch 89, Score 155.0000, Loss 1.2042, Time 0.8133
Epoch 90, Score 67.0000, Loss 1.2323, Time 0.8225
Epoch 91, Score 21.0000, Loss 1.2308, Time 0.8267
Epoch 92, Score 3.0000, Loss 1.2321, Time 0.8464
Epoch 93, Score 30.0000, Loss 1.2226, Time 0.8517
Epoch 94, Score 44.0000, Loss 1.2362, Time 0.8524
Epoch 95, Score 72.0000, Loss 1.2572, Time 0.8404
Epoch 96, Score 172.0000, Loss 1.2500, Time 0.8362
Epoch 97, Score 39.0000, Loss 1.2260, Time 0.8536
Epoch 98, Score 97.0000, Loss 1.2299, Time 0.8513
Epoch 99, Score 197.0000, Loss 1.2440, Time 0.8530
Epoch 100, Score 99.0000, Loss 1.1747, Time 0.8731
