Using GPU for training.
Epoch 0, Score -1.0000, Loss 5.3355, Time 0.4441
Epoch 1, Score -3.0000, Loss 1.6086, Time 0.6121
Epoch 2, Score -5.0000, Loss 1.1622, Time 0.6150
Epoch 3, Score -7.0000, Loss 0.9995, Time 0.6139
Epoch 4, Score -7.0000, Loss 1.6275, Time 0.6264
Epoch 5, Score -9.0000, Loss 1.5028, Time 0.6214
Epoch 6, Score -11.0000, Loss 1.3215, Time 0.6265
Epoch 7, Score -13.0000, Loss 1.2724, Time 0.6270
Epoch 8, Score -15.0000, Loss 1.3842, Time 0.6355
Epoch 9, Score -17.0000, Loss 1.3969, Time 0.6334
Epoch 10, Score 0.0000, Loss 0.3863, Time 0.6506
Epoch 11, Score -1.0000, Loss 0.5774, Time 0.6321
Epoch 12, Score -2.0000, Loss 0.5543, Time 0.6374
Epoch 13, Score -3.0000, Loss 0.5284, Time 0.6417
Epoch 14, Score -6.0000, Loss 0.5789, Time 0.6482
Epoch 15, Score -8.0000, Loss 0.4829, Time 0.6497
Epoch 16, Score -10.0000, Loss 0.4568, Time 0.6550
Epoch 17, Score -12.0000, Loss 0.4118, Time 0.6571
Epoch 18, Score -14.0000, Loss 0.3685, Time 0.6619
Epoch 19, Score -16.0000, Loss 0.3846, Time 0.6690
Epoch 20, Score -18.0000, Loss 0.2923, Time 0.6612
Epoch 21, Score -19.0000, Loss 0.2937, Time 0.6647
Epoch 22, Score 0.0000, Loss 0.3320, Time 0.6872
Epoch 23, Score -1.0000, Loss 0.3767, Time 0.6703
Epoch 24, Score -4.0000, Loss 0.3812, Time 0.6732
Epoch 25, Score -6.0000, Loss 0.3286, Time 0.6829
Epoch 26, Score -8.0000, Loss 0.3424, Time 0.6833
Epoch 27, Score -10.0000, Loss 0.3594, Time 0.6838
Epoch 28, Score -12.0000, Loss 0.3537, Time 0.6877
Epoch 29, Score -14.0000, Loss 0.3479, Time 0.6850
Epoch 30, Score -16.0000, Loss 0.3396, Time 0.6856
Epoch 31, Score -18.0000, Loss 0.2849, Time 0.6902
Epoch 32, Score -20.0000, Loss 0.3149, Time 0.6880
Epoch 33, Score 0.0000, Loss 0.3510, Time 0.7186
Epoch 34, Score -1.0000, Loss 0.3526, Time 0.7037
Epoch 35, Score -3.0000, Loss 0.3177, Time 0.6959
Epoch 36, Score -5.0000, Loss 0.2988, Time 0.7065
Epoch 37, Score -7.0000, Loss 0.2831, Time 0.7034
Epoch 38, Score -9.0000, Loss 0.2669, Time 0.7125
Epoch 39, Score -11.0000, Loss 0.3089, Time 0.7100
Epoch 40, Score -12.0000, Loss 0.3191, Time 0.7228
Epoch 41, Score -13.0000, Loss 0.2262, Time 0.7212
Epoch 42, Score -15.0000, Loss 0.2302, Time 0.7185
Epoch 43, Score -15.0000, Loss 0.2864, Time 0.7201
Epoch 44, Score -17.0000, Loss 0.3060, Time 0.7233
Epoch 45, Score -19.0000, Loss 0.2110, Time 0.7304
Epoch 46, Score 0.0000, Loss 0.3499, Time 0.7593
Epoch 47, Score -2.0000, Loss 0.3442, Time 0.7364
Epoch 48, Score -2.0000, Loss 0.3348, Time 0.7405
Epoch 49, Score -4.0000, Loss 0.3607, Time 0.7601
Epoch 50, Score -6.0000, Loss 0.2376, Time 0.7361
Epoch 51, Score -8.0000, Loss 0.2522, Time 0.7426
Epoch 52, Score -10.0000, Loss 0.2783, Time 0.7458
Epoch 53, Score -12.0000, Loss 0.2447, Time 0.7390
Epoch 54, Score -14.0000, Loss 0.3134, Time 0.7488
Epoch 55, Score -16.0000, Loss 0.2011, Time 0.7606
