Using GPU for training.
Epoch 0, Score -1.0000, Loss 34.7234, Time 0.5517
Epoch 1, Score -2.0000, Loss 34.6014, Time 0.7767
Epoch 2, Score -3.0000, Loss 39.2650, Time 0.7857
Epoch 3, Score -5.0000, Loss 39.4137, Time 0.7933
Epoch 4, Score -6.0000, Loss 39.1244, Time 0.8014
Epoch 5, Score -8.0000, Loss 38.7448, Time 0.7852
Epoch 6, Score -10.0000, Loss 38.9838, Time 0.7938
Epoch 7, Score -12.0000, Loss 37.5285, Time 0.7950
Epoch 8, Score -13.0000, Loss 38.7863, Time 0.7970
Epoch 9, Score -15.0000, Loss 39.7596, Time 0.8017
Epoch 10, Score -14.0000, Loss 7.7697, Time 0.8026
Epoch 11, Score -16.0000, Loss 7.5606, Time 0.8068
Epoch 12, Score -18.0000, Loss 7.9128, Time 0.8134
Epoch 13, Score -17.0000, Loss 8.0894, Time 0.8126
Epoch 14, Score -18.0000, Loss 8.1211, Time 0.8153
Epoch 15, Score -1.0000, Loss 8.1371, Time 0.8397
Epoch 16, Score -2.0000, Loss 8.0977, Time 0.8175
Epoch 17, Score -3.0000, Loss 8.2289, Time 0.8305
Epoch 18, Score -5.0000, Loss 8.1100, Time 0.8300
Epoch 19, Score -8.0000, Loss 8.0539, Time 0.8301
Epoch 20, Score -10.0000, Loss 1.6318, Time 0.8312
Epoch 21, Score -11.0000, Loss 1.5237, Time 0.8318
Epoch 22, Score -11.0000, Loss 1.5743, Time 0.8411
Epoch 23, Score -13.0000, Loss 1.6214, Time 0.8389
Epoch 24, Score -15.0000, Loss 1.6071, Time 0.8492
Epoch 25, Score -17.0000, Loss 1.6428, Time 0.8463
Epoch 26, Score -18.0000, Loss 1.7127, Time 0.8464
Epoch 27, Score 0.0000, Loss 1.6951, Time 0.8646
Epoch 28, Score -2.0000, Loss 1.7268, Time 0.8490
Epoch 29, Score -2.0000, Loss 1.6871, Time 0.8493
Epoch 30, Score -4.0000, Loss 0.4134, Time 0.8557
Epoch 31, Score -7.0000, Loss 0.3995, Time 0.8621
Epoch 32, Score -9.0000, Loss 0.4035, Time 0.8547
Epoch 33, Score -11.0000, Loss 0.4078, Time 0.8688
Epoch 34, Score -13.0000, Loss 0.4183, Time 0.8638
Epoch 35, Score -13.0000, Loss 0.4160, Time 0.8681
Epoch 36, Score -15.0000, Loss 0.4182, Time 0.8746
Epoch 37, Score -17.0000, Loss 0.4118, Time 0.8722
Epoch 38, Score -16.0000, Loss 0.4114, Time 0.8711
Epoch 39, Score -19.0000, Loss 0.4233, Time 0.8727
Epoch 40, Score 0.0000, Loss 0.1241, Time 0.9109
Epoch 41, Score -2.0000, Loss 0.1282, Time 0.8854
Epoch 42, Score -4.0000, Loss 0.1308, Time 0.8830
Epoch 43, Score -6.0000, Loss 0.1458, Time 0.8848
Epoch 44, Score -7.0000, Loss 0.1358, Time 0.8980
Epoch 45, Score -9.0000, Loss 0.1421, Time 0.8923
Epoch 46, Score -11.0000, Loss 0.1388, Time 0.8997
Epoch 47, Score -13.0000, Loss 0.1381, Time 0.9013
Epoch 48, Score -15.0000, Loss 0.1417, Time 0.8991
Epoch 49, Score -18.0000, Loss 0.1378, Time 0.9070
Epoch 50, Score -20.0000, Loss 0.0988, Time 0.9041
Epoch 51, Score 0.0000, Loss 0.0879, Time 0.9288
Epoch 52, Score -2.0000, Loss 0.0829, Time 0.9163
Epoch 53, Score -3.0000, Loss 0.0875, Time 0.9102
Epoch 54, Score -5.0000, Loss 0.0935, Time 0.9146
Epoch 55, Score -7.0000, Loss 0.0836, Time 0.9121
Epoch 56, Score -10.0000, Loss 0.0935, Time 0.9207
Epoch 57, Score -12.0000, Loss 0.0940, Time 0.9279
Epoch 58, Score -14.0000, Loss 0.0857, Time 0.9306
Epoch 59, Score -16.0000, Loss 0.0902, Time 0.9289
Epoch 60, Score -15.0000, Loss 0.0636, Time 0.9346
Epoch 61, Score -17.0000, Loss 0.0627, Time 0.9338
Epoch 62, Score -19.0000, Loss 0.0679, Time 0.9342
Epoch 63, Score -1.0000, Loss 0.0707, Time 0.9577
Epoch 64, Score -3.0000, Loss 0.0631, Time 0.9450
Epoch 65, Score -3.0000, Loss 0.0745, Time 0.9450
