Using GPU for training.
Epoch 0, Score -1.0000, Loss 5.9900, Time 0.4299
Epoch 1, Score -3.0000, Loss 1.2224, Time 0.6003
Epoch 2, Score -5.0000, Loss 0.6617, Time 0.6079
Epoch 3, Score -7.0000, Loss 0.5112, Time 0.6073
Epoch 4, Score -9.0000, Loss 0.7733, Time 0.6182
Epoch 5, Score -12.0000, Loss 0.5823, Time 0.6200
Epoch 6, Score -14.0000, Loss 0.4866, Time 0.6163
Epoch 7, Score -16.0000, Loss 0.5809, Time 0.6177
Epoch 8, Score -16.0000, Loss 0.6902, Time 0.6210
Epoch 9, Score -18.0000, Loss 0.5689, Time 0.6261
Epoch 10, Score -20.0000, Loss 0.3106, Time 0.6242
Epoch 11, Score 0.0000, Loss 0.3907, Time 0.6415
Epoch 12, Score -1.0000, Loss 0.6391, Time 0.6299
Epoch 13, Score -3.0000, Loss 0.5726, Time 0.6382
Epoch 14, Score -5.0000, Loss 0.4765, Time 0.6324
Epoch 15, Score -6.0000, Loss 0.4154, Time 0.6401
Epoch 16, Score -8.0000, Loss 0.4283, Time 0.6401
Epoch 17, Score -10.0000, Loss 0.4200, Time 0.6440
Epoch 18, Score -9.0000, Loss 0.4046, Time 0.6468
Epoch 19, Score -11.0000, Loss 0.3724, Time 0.6498
Epoch 20, Score -13.0000, Loss 0.4270, Time 0.6624
Epoch 21, Score -15.0000, Loss 0.3539, Time 0.6593
Epoch 22, Score -18.0000, Loss 0.3800, Time 0.6608
Epoch 23, Score -19.0000, Loss 0.3451, Time 0.6601
Epoch 24, Score 0.0000, Loss 0.8387, Time 0.6848
Epoch 25, Score -2.0000, Loss 0.7972, Time 0.6673
Epoch 26, Score -5.0000, Loss 0.8111, Time 0.6680
Epoch 27, Score -5.0000, Loss 0.7142, Time 0.6752
Epoch 28, Score -7.0000, Loss 0.7899, Time 0.6766
Epoch 29, Score -9.0000, Loss 0.6631, Time 0.6762
Epoch 30, Score -10.0000, Loss 0.7842, Time 0.6824
Epoch 31, Score -12.0000, Loss 0.7499, Time 0.6845
Epoch 32, Score -14.0000, Loss 0.6624, Time 0.6845
Epoch 33, Score -16.0000, Loss 0.6117, Time 0.6868
Epoch 34, Score -18.0000, Loss 0.6069, Time 0.6908
Epoch 35, Score -20.0000, Loss 0.4800, Time 0.6947
Epoch 36, Score 0.0000, Loss 0.8646, Time 0.7095
Epoch 37, Score -2.0000, Loss 0.8590, Time 0.6986
Epoch 38, Score -5.0000, Loss 0.7022, Time 0.7023
Epoch 39, Score -6.0000, Loss 0.7289, Time 0.7040
Epoch 40, Score -7.0000, Loss 0.6786, Time 0.7307
Epoch 41, Score -7.0000, Loss 0.6874, Time 0.7251
Epoch 42, Score -8.0000, Loss 0.7109, Time 0.7096
Epoch 43, Score -10.0000, Loss 0.6841, Time 0.7082
Epoch 44, Score -12.0000, Loss 0.4900, Time 0.7174
Epoch 45, Score -14.0000, Loss 0.7409, Time 0.7192
Epoch 46, Score -13.0000, Loss 0.4649, Time 0.7216
Epoch 47, Score -15.0000, Loss 0.5658, Time 0.7383
Epoch 48, Score -17.0000, Loss 0.5108, Time 0.7315
Epoch 49, Score 0.0000, Loss 0.6251, Time 0.7615
Epoch 50, Score -2.0000, Loss 0.5488, Time 0.7303
Epoch 51, Score -3.0000, Loss 0.5597, Time 0.7407
Epoch 52, Score -5.0000, Loss 0.5481, Time 0.7416
Epoch 53, Score -7.0000, Loss 0.7577, Time 0.7379
Epoch 54, Score -9.0000, Loss 0.5070, Time 0.7427
Epoch 55, Score -11.0000, Loss 0.5485, Time 0.7451
Epoch 56, Score -13.0000, Loss 0.5367, Time 0.7464
Epoch 57, Score -15.0000, Loss 0.5245, Time 0.7477
Epoch 58, Score -18.0000, Loss 0.6078, Time 0.7656
Epoch 59, Score -20.0000, Loss 0.4321, Time 0.7571
Epoch 60, Score 0.0000, Loss 0.6763, Time 0.7778
Epoch 61, Score -1.0000, Loss 0.6588, Time 0.7612
Epoch 62, Score -3.0000, Loss 0.7280, Time 0.7725
Epoch 63, Score -5.0000, Loss 0.6510, Time 0.7711
Epoch 64, Score -7.0000, Loss 0.5867, Time 0.7715
Epoch 65, Score -9.0000, Loss 0.5372, Time 0.7744
Epoch 66, Score -11.0000, Loss 0.5141, Time 0.7836
Epoch 67, Score -11.0000, Loss 0.5354, Time 0.7810
Epoch 68, Score -12.0000, Loss 0.3813, Time 0.7835
Epoch 69, Score -14.0000, Loss 0.4537, Time 0.7893
Epoch 70, Score -16.0000, Loss 0.3632, Time 0.7841
Epoch 71, Score -18.0000, Loss 0.3672, Time 0.7893
Epoch 72, Score 0.0000, Loss 0.3743, Time 0.8072
Epoch 73, Score -2.0000, Loss 0.5084, Time 0.8017
Epoch 74, Score -4.0000, Loss 0.4152, Time 0.7959
Epoch 75, Score -4.0000, Loss 0.5456, Time 0.8107
Epoch 76, Score -5.0000, Loss 0.4819, Time 0.8060
Epoch 77, Score -7.0000, Loss 0.3935, Time 0.8048
Epoch 78, Score -9.0000, Loss 0.4802, Time 0.8054
Epoch 79, Score -11.0000, Loss 0.3851, Time 0.8128
Epoch 80, Score -14.0000, Loss 0.6047, Time 0.8127
Epoch 81, Score -16.0000, Loss 0.3869, Time 0.8141
