Using GPU for training.
Epoch 0, Score 16.0000, Loss 0.4926, Time 0.3109
Epoch 1, Score 9.0000, Loss 0.0087, Time 0.4329
Epoch 2, Score 23.0000, Loss 0.0023, Time 0.4257
Epoch 3, Score 4.0000, Loss 0.0008, Time 0.4337
Epoch 4, Score 35.0000, Loss 0.0004, Time 0.4379
Epoch 5, Score 11.0000, Loss 0.0003, Time 0.4431
Epoch 6, Score 11.0000, Loss 0.0002, Time 0.4609
Epoch 7, Score 5.0000, Loss 0.0002, Time 0.4833
Epoch 8, Score 18.0000, Loss 0.0003, Time 0.4660
Epoch 9, Score 16.0000, Loss 0.0002, Time 0.4630
Epoch 10, Score 49.0000, Loss 0.0478, Time 0.4599
Epoch 11, Score 20.0000, Loss 0.0315, Time 0.4585
Epoch 12, Score 8.0000, Loss 0.0319, Time 0.4790
Epoch 13, Score 9.0000, Loss 0.0292, Time 0.4713
Epoch 14, Score 1.0000, Loss 0.0274, Time 0.4792
Epoch 15, Score 6.0000, Loss 0.0282, Time 0.4866
Epoch 16, Score 25.0000, Loss 0.0301, Time 0.4746
Epoch 17, Score 19.0000, Loss 0.0268, Time 0.4788
Epoch 18, Score 12.0000, Loss 0.0255, Time 0.4683
Epoch 19, Score 80.0000, Loss 0.0235, Time 0.4601
Epoch 20, Score 13.0000, Loss 0.0925, Time 0.4872
Epoch 21, Score 49.0000, Loss 0.0688, Time 0.4770
Epoch 22, Score 2.0000, Loss 0.0588, Time 0.4889
Epoch 23, Score 41.0000, Loss 0.0574, Time 0.4898
Epoch 24, Score 16.0000, Loss 0.0572, Time 0.5022
Epoch 25, Score 30.0000, Loss 0.0546, Time 0.4900
Epoch 26, Score 12.0000, Loss 0.0556, Time 0.4972
Epoch 27, Score 2.0000, Loss 0.0518, Time 0.5098
Epoch 28, Score 42.0000, Loss 0.0501, Time 0.4844
Epoch 29, Score 26.0000, Loss 0.0497, Time 0.5013
Epoch 30, Score 8.0000, Loss 0.1028, Time 0.4953
Epoch 31, Score 38.0000, Loss 0.0842, Time 0.5172
Epoch 32, Score 28.0000, Loss 0.0732, Time 0.5229
Epoch 33, Score 128.0000, Loss 0.0729, Time 0.4949
Epoch 34, Score 8.0000, Loss 0.0763, Time 0.5097
Epoch 35, Score 20.0000, Loss 0.0753, Time 0.5046
Epoch 36, Score 66.0000, Loss 0.0673, Time 0.5126
Epoch 37, Score 75.0000, Loss 0.0610, Time 0.5098
Epoch 38, Score 5.0000, Loss 0.0663, Time 0.5156
Epoch 39, Score 29.0000, Loss 0.0601, Time 0.5224
Epoch 40, Score 31.0000, Loss 0.1129, Time 0.5177
Epoch 41, Score 22.0000, Loss 0.0810, Time 0.5271
Epoch 42, Score 19.0000, Loss 0.0774, Time 0.5223
Epoch 43, Score 84.0000, Loss 0.0690, Time 0.5260
Epoch 44, Score 9.0000, Loss 0.0743, Time 0.5366
Epoch 45, Score 18.0000, Loss 0.0632, Time 0.5284
Epoch 46, Score 7.0000, Loss 0.0655, Time 0.5372
Epoch 47, Score 25.0000, Loss 0.0567, Time 0.5284
Epoch 48, Score 21.0000, Loss 0.0573, Time 0.5324
Epoch 49, Score 39.0000, Loss 0.0674, Time 0.5413
Epoch 50, Score 47.0000, Loss 0.1167, Time 0.5458
Epoch 51, Score 28.0000, Loss 0.0972, Time 0.5457
Epoch 52, Score 3.0000, Loss 0.0865, Time 0.5391
Epoch 53, Score 103.0000, Loss 0.0965, Time 0.5405
Epoch 54, Score 66.0000, Loss 0.0843, Time 0.5495
Epoch 55, Score 42.0000, Loss 0.0923, Time 0.5626
Epoch 56, Score 25.0000, Loss 0.0752, Time 0.5605
Epoch 57, Score 32.0000, Loss 0.0761, Time 0.5673
Epoch 58, Score 50.0000, Loss 0.0785, Time 0.5632
Epoch 59, Score 8.0000, Loss 0.0791, Time 0.5647
Epoch 60, Score 8.0000, Loss 0.1538, Time 0.5758
Epoch 61, Score 22.0000, Loss 0.1174, Time 0.5604
Epoch 62, Score 75.0000, Loss 0.1075, Time 0.5701
Epoch 63, Score 175.0000, Loss 0.1175, Time 0.5687
Epoch 64, Score 2.0000, Loss 0.1131, Time 0.5845
Epoch 65, Score 102.0000, Loss 0.1202, Time 0.5681
Epoch 66, Score 28.0000, Loss 0.0997, Time 0.5861
Epoch 67, Score 128.0000, Loss 0.1126, Time 0.5758
Epoch 68, Score 6.0000, Loss 0.1176, Time 0.5878
Epoch 69, Score 43.0000, Loss 0.0987, Time 0.5854
Epoch 70, Score 2.0000, Loss 0.1470, Time 0.6026
Epoch 71, Score 13.0000, Loss 0.1451, Time 0.5977
Epoch 72, Score 32.0000, Loss 0.1340, Time 0.5916
Epoch 73, Score 19.0000, Loss 0.1409, Time 0.6032
Epoch 74, Score 119.0000, Loss 0.1438, Time 0.5944
Epoch 75, Score 20.0000, Loss 0.1334, Time 0.6000
Epoch 76, Score 58.0000, Loss 0.1330, Time 0.6029
Epoch 77, Score 54.0000, Loss 0.1430, Time 0.6180
Epoch 78, Score 30.0000, Loss 0.1246, Time 0.6032
Epoch 79, Score 26.0000, Loss 0.1223, Time 0.6241
Epoch 80, Score 126.0000, Loss 0.2065, Time 0.6186
Epoch 81, Score 44.0000, Loss 0.1747, Time 0.6172
Epoch 82, Score 83.0000, Loss 0.1808, Time 0.6365
Epoch 83, Score 183.0000, Loss 0.1901, Time 0.6240
Epoch 84, Score 84.0000, Loss 0.2100, Time 0.6328
Epoch 85, Score 69.0000, Loss 0.1767, Time 0.6419
Epoch 86, Score 169.0000, Loss 0.1715, Time 0.6296
Epoch 87, Score 54.0000, Loss 0.1796, Time 0.6485
Epoch 88, Score 154.0000, Loss 0.1630, Time 0.6354
Epoch 89, Score 0.0000, Loss 0.2135, Time 0.6542
