Using GPU for training.
Epoch 0, Score 8.0000, Loss 0.8049, Time 0.3059
Epoch 1, Score 24.0000, Loss 0.2799, Time 0.4378
Epoch 2, Score 20.0000, Loss 0.0395, Time 0.4395
Epoch 3, Score 6.0000, Loss 0.0139, Time 0.4512
Epoch 4, Score 1.0000, Loss 0.0062, Time 0.4480
Epoch 5, Score 9.0000, Loss 0.0041, Time 0.4566
Epoch 6, Score 15.0000, Loss 0.0041, Time 0.4488
Epoch 7, Score 1.0000, Loss 0.0039, Time 0.4584
Epoch 8, Score 8.0000, Loss 0.0039, Time 0.4455
Epoch 9, Score 12.0000, Loss 0.0036, Time 0.4589
Epoch 10, Score 4.0000, Loss 0.1105, Time 0.4599
Epoch 11, Score 35.0000, Loss 0.0687, Time 0.4583
Epoch 12, Score 6.0000, Loss 0.0739, Time 0.4784
Epoch 13, Score 15.0000, Loss 0.0776, Time 0.4712
Epoch 14, Score 44.0000, Loss 0.0756, Time 0.4618
Epoch 15, Score 4.0000, Loss 0.0674, Time 0.4835
Epoch 16, Score 17.0000, Loss 0.0635, Time 0.4754
Epoch 17, Score 23.0000, Loss 0.0592, Time 0.4774
Epoch 18, Score 7.0000, Loss 0.0565, Time 0.4857
Epoch 19, Score 3.0000, Loss 0.0513, Time 0.4696
Epoch 20, Score 0.0000, Loss 0.1650, Time 0.4856
Epoch 21, Score 5.0000, Loss 0.1145, Time 0.4802
Epoch 22, Score 73.0000, Loss 0.1214, Time 0.4722
Epoch 23, Score 6.0000, Loss 0.1108, Time 0.4763
Epoch 24, Score 43.0000, Loss 0.0981, Time 0.4744
Epoch 25, Score 10.0000, Loss 0.1076, Time 0.4906
Epoch 26, Score 37.0000, Loss 0.0981, Time 0.4794
Epoch 27, Score 24.0000, Loss 0.1014, Time 0.5036
Epoch 28, Score 69.0000, Loss 0.0854, Time 0.4864
Epoch 29, Score 20.0000, Loss 0.0832, Time 0.4916
Epoch 30, Score 8.0000, Loss 0.1830, Time 0.4949
Epoch 31, Score 73.0000, Loss 0.1410, Time 0.4885
Epoch 32, Score 21.0000, Loss 0.1158, Time 0.4990
Epoch 33, Score 29.0000, Loss 0.1381, Time 0.5082
Epoch 34, Score 3.0000, Loss 0.1257, Time 0.5021
Epoch 35, Score 103.0000, Loss 0.1266, Time 0.4868
Epoch 36, Score 15.0000, Loss 0.1174, Time 0.5098
Epoch 37, Score 51.0000, Loss 0.1087, Time 0.5064
Epoch 38, Score 55.0000, Loss 0.1138, Time 0.5096
Epoch 39, Score 71.0000, Loss 0.1017, Time 0.5093
Epoch 40, Score 6.0000, Loss 0.1683, Time 0.5154
Epoch 41, Score 106.0000, Loss 0.1617, Time 0.5059
Epoch 42, Score 11.0000, Loss 0.1757, Time 0.5229
