Using GPU for training.
Epoch 0, Score 3.0000, Loss 12.2155, Time 0.5160
Epoch 1, Score 4.0000, Loss 9.7991, Time 0.6533
Epoch 2, Score 2.0000, Loss 4.5011, Time 0.6740
Epoch 3, Score 0.0000, Loss 3.0576, Time 0.6751
Epoch 4, Score 2.0000, Loss 2.9014, Time 0.6845
Epoch 5, Score 7.0000, Loss 2.8608, Time 0.6864
Epoch 6, Score 2.0000, Loss 2.9543, Time 0.7079
Epoch 7, Score 8.0000, Loss 2.9430, Time 0.6903
Epoch 8, Score 4.0000, Loss 2.8948, Time 0.7082
Epoch 9, Score 5.0000, Loss 2.8919, Time 0.6894
Epoch 10, Score 18.0000, Loss 1.8000, Time 0.7102
Epoch 11, Score 23.0000, Loss 1.6003, Time 0.6713
Epoch 12, Score 3.0000, Loss 1.5374, Time 0.6678
Epoch 13, Score 5.0000, Loss 1.5200, Time 0.6927
Epoch 14, Score 20.0000, Loss 1.3725, Time 0.6904
Epoch 15, Score 7.0000, Loss 1.3283, Time 0.6807
Epoch 16, Score 7.0000, Loss 1.3006, Time 0.6668
Epoch 17, Score 11.0000, Loss 1.3464, Time 0.6864
Epoch 18, Score 11.0000, Loss 1.2373, Time 0.7104
Epoch 19, Score 45.0000, Loss 1.1949, Time 0.6602
Epoch 20, Score 2.0000, Loss 1.3010, Time 0.6802
Epoch 21, Score 2.0000, Loss 1.1970, Time 0.7008
Epoch 22, Score 13.0000, Loss 1.1649, Time 0.6906
Epoch 23, Score 14.0000, Loss 1.1220, Time 0.6753
Epoch 24, Score 35.0000, Loss 1.0504, Time 0.6704
Epoch 25, Score 31.0000, Loss 1.0843, Time 0.6802
Epoch 26, Score 17.0000, Loss 1.0077, Time 0.6888
Epoch 27, Score 33.0000, Loss 1.0058, Time 0.6709
Epoch 28, Score 7.0000, Loss 0.9866, Time 0.6927
Epoch 29, Score 18.0000, Loss 0.9762, Time 0.6941
Epoch 30, Score 10.0000, Loss 1.1165, Time 0.7101
Epoch 31, Score 7.0000, Loss 1.0902, Time 0.6966
Epoch 32, Score 53.0000, Loss 1.0608, Time 0.6982
