Using GPU for training.
Epoch 0, Score -1.0000, Loss 66.3932, Time 0.5593
Epoch 1, Score -3.0000, Loss 71.1418, Time 0.7877
Epoch 2, Score -5.0000, Loss 74.5975, Time 0.7852
Epoch 3, Score -7.0000, Loss 75.1083, Time 0.7976
Epoch 4, Score -7.0000, Loss 74.1644, Time 0.8005
Epoch 5, Score -8.0000, Loss 67.4724, Time 0.7899
Epoch 6, Score -10.0000, Loss 64.4606, Time 0.7970
Epoch 7, Score -12.0000, Loss 67.1034, Time 0.8025
Epoch 8, Score -14.0000, Loss 67.1479, Time 0.8056
Epoch 9, Score -16.0000, Loss 67.7425, Time 0.8115
Epoch 10, Score -15.0000, Loss 18.2480, Time 0.8068
Epoch 11, Score -18.0000, Loss 17.1157, Time 0.8104
Epoch 12, Score 0.0000, Loss 17.4219, Time 0.8304
Epoch 13, Score -2.0000, Loss 18.1312, Time 0.8259
Epoch 14, Score -4.0000, Loss 18.0521, Time 0.8199
Epoch 15, Score -6.0000, Loss 18.5678, Time 0.8248
Epoch 16, Score -9.0000, Loss 18.4995, Time 0.8272
Epoch 17, Score -11.0000, Loss 18.8392, Time 0.8268
Epoch 18, Score -13.0000, Loss 18.7155, Time 0.8261
Epoch 19, Score -15.0000, Loss 18.9819, Time 0.8298
Epoch 20, Score -17.0000, Loss 4.7904, Time 0.8377
Epoch 21, Score -18.0000, Loss 4.4543, Time 0.8416
Epoch 22, Score -17.0000, Loss 4.5873, Time 0.8517
Epoch 23, Score -19.0000, Loss 4.4103, Time 0.8421
Epoch 24, Score 0.0000, Loss 4.4538, Time 0.8599
Epoch 25, Score -2.0000, Loss 4.5688, Time 0.8462
Epoch 26, Score -4.0000, Loss 4.6541, Time 0.8497
Epoch 27, Score -6.0000, Loss 4.6940, Time 0.8487
Epoch 28, Score -8.0000, Loss 4.7397, Time 0.8500
Epoch 29, Score -10.0000, Loss 4.7234, Time 0.8520
Epoch 30, Score -9.0000, Loss 1.0699, Time 0.8562
Epoch 31, Score -11.0000, Loss 1.0667, Time 0.8693
Epoch 32, Score -13.0000, Loss 1.0612, Time 0.8632
Epoch 33, Score -15.0000, Loss 1.0910, Time 0.8716
Epoch 34, Score -17.0000, Loss 1.0970, Time 0.8706
Epoch 35, Score -16.0000, Loss 1.0958, Time 0.8688
Epoch 36, Score 0.0000, Loss 1.1003, Time 0.8961
Epoch 37, Score -1.0000, Loss 1.1211, Time 0.8736
Epoch 38, Score -2.0000, Loss 1.0746, Time 0.8780
Epoch 39, Score -3.0000, Loss 1.1088, Time 0.8837
Epoch 40, Score -4.0000, Loss 0.3218, Time 0.8891
Epoch 41, Score -6.0000, Loss 0.2888, Time 0.8813
Epoch 42, Score -8.0000, Loss 0.2720, Time 0.8864
Epoch 43, Score -11.0000, Loss 0.2823, Time 0.8857
Epoch 44, Score -11.0000, Loss 0.2849, Time 0.8905
Epoch 45, Score -13.0000, Loss 0.2746, Time 0.8860
Epoch 46, Score -15.0000, Loss 0.2985, Time 0.8952
Epoch 47, Score -17.0000, Loss 0.2685, Time 0.8935
Epoch 48, Score -19.0000, Loss 0.2801, Time 0.8996
Epoch 49, Score 0.0000, Loss 0.2960, Time 0.9204
Epoch 50, Score -2.0000, Loss 0.1262, Time 0.9117
Epoch 51, Score -2.0000, Loss 0.1179, Time 0.9083
Epoch 52, Score -2.0000, Loss 0.1270, Time 0.9073
Epoch 53, Score -4.0000, Loss 0.1212, Time 0.9116
Epoch 54, Score -6.0000, Loss 0.1258, Time 0.9124
Epoch 55, Score -8.0000, Loss 0.1194, Time 0.9226
Epoch 56, Score -10.0000, Loss 0.1528, Time 0.9136
Epoch 57, Score -12.0000, Loss 0.1486, Time 0.9257
Epoch 58, Score -14.0000, Loss 0.1316, Time 0.9232
Epoch 59, Score -17.0000, Loss 0.1202, Time 0.9279
Epoch 60, Score -16.0000, Loss 0.1066, Time 0.9313
Epoch 61, Score -17.0000, Loss 0.1062, Time 0.9380
Epoch 62, Score 0.0000, Loss 0.1264, Time 0.9560
Epoch 63, Score -2.0000, Loss 0.1104, Time 0.9428
Epoch 64, Score -4.0000, Loss 0.1064, Time 0.9409
Epoch 65, Score -6.0000, Loss 0.1003, Time 0.9399
Epoch 66, Score -8.0000, Loss 0.1061, Time 0.9561
Epoch 67, Score -10.0000, Loss 0.1073, Time 0.9643
Epoch 68, Score -11.0000, Loss 0.1051, Time 0.9551
Epoch 69, Score -12.0000, Loss 0.1128, Time 0.9548
Epoch 70, Score -14.0000, Loss 0.0956, Time 0.9600
Epoch 71, Score -16.0000, Loss 0.0945, Time 0.9647
Epoch 72, Score -19.0000, Loss 0.1065, Time 0.9664
Epoch 73, Score 0.0000, Loss 0.1168, Time 0.9865
Epoch 74, Score -1.0000, Loss 0.1077, Time 0.9685
Epoch 75, Score -3.0000, Loss 0.0896, Time 0.9759
Epoch 76, Score -5.0000, Loss 0.1090, Time 0.9852
Epoch 77, Score -8.0000, Loss 0.1121, Time 0.9736
Epoch 78, Score -10.0000, Loss 0.1159, Time 0.9837
Epoch 79, Score -10.0000, Loss 0.1191, Time 0.9835
Epoch 80, Score -11.0000, Loss 0.1178, Time 0.9837
Epoch 81, Score -14.0000, Loss 0.1062, Time 0.9907
Epoch 82, Score -16.0000, Loss 0.0981, Time 0.9925
Epoch 83, Score -17.0000, Loss 0.0965, Time 0.9900
Epoch 84, Score -19.0000, Loss 0.0992, Time 0.9979
Epoch 85, Score -20.0000, Loss 0.0914, Time 1.0144
Epoch 86, Score 0.0000, Loss 0.1107, Time 1.0195
Epoch 87, Score -2.0000, Loss 0.0929, Time 1.0001
Epoch 88, Score -4.0000, Loss 0.0900, Time 1.0063
Epoch 89, Score -6.0000, Loss 0.0982, Time 1.0031
Epoch 90, Score -8.0000, Loss 0.0837, Time 1.0057
Epoch 91, Score -11.0000, Loss 0.0981, Time 1.0115
Epoch 92, Score -13.0000, Loss 0.1026, Time 1.0288
Epoch 93, Score -15.0000, Loss 0.0952, Time 1.0136
Epoch 94, Score -17.0000, Loss 0.0907, Time 1.0361
Epoch 95, Score -19.0000, Loss 0.0836, Time 1.0289
Epoch 96, Score 0.0000, Loss 0.0868, Time 1.0446
Epoch 97, Score -1.0000, Loss 0.0802, Time 1.0282
Epoch 98, Score -4.0000, Loss 0.0902, Time 1.0333
Epoch 99, Score -6.0000, Loss 0.0794, Time 1.0297
Epoch 100, Score -8.0000, Loss 0.0868, Time 1.0324
Epoch 101, Score -10.0000, Loss 0.0996, Time 1.0467
Epoch 102, Score -12.0000, Loss 0.0934, Time 1.0463
Epoch 103, Score -14.0000, Loss 0.1006, Time 1.0436
Epoch 104, Score -16.0000, Loss 0.0824, Time 1.0461
Epoch 105, Score -17.0000, Loss 0.0755, Time 1.0477
Epoch 106, Score -18.0000, Loss 0.0710, Time 1.0567
Epoch 107, Score -19.0000, Loss 0.0715, Time 1.0577
Epoch 108, Score 0.0000, Loss 0.0851, Time 1.0781
Epoch 109, Score -1.0000, Loss 0.0753, Time 1.0540
Epoch 110, Score -2.0000, Loss 0.0770, Time 1.0639
Epoch 111, Score -5.0000, Loss 0.0795, Time 1.0829
Epoch 112, Score -5.0000, Loss 0.0788, Time 1.0667
Epoch 113, Score -7.0000, Loss 0.0857, Time 1.0694
Epoch 114, Score -9.0000, Loss 0.1015, Time 1.0694
Epoch 115, Score -12.0000, Loss 0.0872, Time 1.0721
Epoch 116, Score -13.0000, Loss 0.0729, Time 1.0782
Epoch 117, Score -15.0000, Loss 0.0700, Time 1.0830
Epoch 118, Score -17.0000, Loss 0.0705, Time 1.0832
Epoch 119, Score -19.0000, Loss 0.0887, Time 1.0812
Epoch 120, Score 0.0000, Loss 0.0750, Time 1.1153
