Using GPU for training.
Epoch 0, Score -1.0000, Loss 20.5986, Time 0.5565
Epoch 1, Score -3.0000, Loss 4.5571, Time 0.7924
Epoch 2, Score -5.0000, Loss 4.3600, Time 0.7915
Epoch 3, Score -7.0000, Loss 3.8075, Time 0.7936
Epoch 4, Score -9.0000, Loss 3.7988, Time 0.8058
Epoch 5, Score -12.0000, Loss 3.7878, Time 0.7989
Epoch 6, Score -14.0000, Loss 3.6785, Time 0.7993
Epoch 7, Score -16.0000, Loss 3.7710, Time 0.7968
Epoch 8, Score -18.0000, Loss 3.4717, Time 0.7996
Epoch 9, Score -20.0000, Loss 3.5965, Time 0.8050
Epoch 10, Score -1.0000, Loss 0.6790, Time 0.8203
Epoch 11, Score -3.0000, Loss 0.5833, Time 0.8056
Epoch 12, Score -5.0000, Loss 0.5036, Time 0.8085
Epoch 13, Score -7.0000, Loss 0.5588, Time 0.8259
Epoch 14, Score -9.0000, Loss 0.5215, Time 0.8167
Epoch 15, Score -11.0000, Loss 0.4359, Time 0.8220
Epoch 16, Score -14.0000, Loss 0.4455, Time 0.8151
Epoch 17, Score -16.0000, Loss 0.4543, Time 0.8165
Epoch 18, Score -18.0000, Loss 0.4541, Time 0.8216
Epoch 19, Score -18.0000, Loss 0.5438, Time 0.8205
Epoch 20, Score -20.0000, Loss 0.3876, Time 0.8211
Epoch 21, Score 0.0000, Loss 0.5584, Time 0.8489
Epoch 22, Score -1.0000, Loss 0.5301, Time 0.8325
Epoch 23, Score -3.0000, Loss 0.5343, Time 0.8272
Epoch 24, Score -5.0000, Loss 0.4692, Time 0.8310
Epoch 25, Score -8.0000, Loss 0.5061, Time 0.8426
Epoch 26, Score -8.0000, Loss 0.4989, Time 0.8393
Epoch 27, Score -9.0000, Loss 0.4754, Time 0.8383
Epoch 28, Score -11.0000, Loss 0.3987, Time 0.8373
Epoch 29, Score -13.0000, Loss 0.4110, Time 0.8419
Epoch 30, Score -15.0000, Loss 0.1988, Time 0.8426
Epoch 31, Score -17.0000, Loss 0.1959, Time 0.8571
Epoch 32, Score -20.0000, Loss 0.2106, Time 0.8463
Epoch 33, Score -19.0000, Loss 0.2303, Time 0.8524
Epoch 34, Score 0.0000, Loss 0.2232, Time 0.8721
Epoch 35, Score -1.0000, Loss 0.2359, Time 0.8587
Epoch 36, Score -4.0000, Loss 0.2507, Time 0.8592
Epoch 37, Score -6.0000, Loss 0.2126, Time 0.8587
Epoch 38, Score -6.0000, Loss 0.2215, Time 0.8683
Epoch 39, Score -8.0000, Loss 0.2489, Time 0.8635
Epoch 40, Score -7.0000, Loss 0.2087, Time 0.8682
Epoch 41, Score -6.0000, Loss 0.1819, Time 0.8666
Epoch 42, Score -8.0000, Loss 0.1830, Time 0.8726
Epoch 43, Score -8.0000, Loss 0.1940, Time 0.8731
Epoch 44, Score -9.0000, Loss 0.2132, Time 0.8757
Epoch 45, Score -11.0000, Loss 0.1912, Time 0.8798
Epoch 46, Score -13.0000, Loss 0.1891, Time 0.8756
Epoch 47, Score -15.0000, Loss 0.1766, Time 0.8839
Epoch 48, Score -17.0000, Loss 0.1931, Time 0.8810
Epoch 49, Score 0.0000, Loss 0.1827, Time 0.9128
Epoch 50, Score 1.0000, Loss 0.2229, Time 0.8952
Epoch 51, Score 0.0000, Loss 0.2156, Time 0.8928
Epoch 52, Score -2.0000, Loss 0.2024, Time 0.9023
Epoch 53, Score -5.0000, Loss 0.2135, Time 0.8974
Epoch 54, Score -7.0000, Loss 0.2010, Time 0.8997
Epoch 55, Score -9.0000, Loss 0.1871, Time 0.8988
Epoch 56, Score -11.0000, Loss 0.2142, Time 0.9002
Epoch 57, Score -13.0000, Loss 0.1908, Time 0.9045
Epoch 58, Score -15.0000, Loss 0.1823, Time 0.9088
Epoch 59, Score -17.0000, Loss 0.1898, Time 0.9147
Epoch 60, Score -19.0000, Loss 0.0824, Time 0.9101
Epoch 61, Score 0.0000, Loss 0.0893, Time 0.9339
Epoch 62, Score -1.0000, Loss 0.1047, Time 0.9209
Epoch 63, Score -4.0000, Loss 0.1097, Time 0.9242
Epoch 64, Score -6.0000, Loss 0.0912, Time 0.9269
Epoch 65, Score -8.0000, Loss 0.0960, Time 0.9277
Epoch 66, Score -10.0000, Loss 0.0960, Time 0.9259
Epoch 67, Score -12.0000, Loss 0.1015, Time 0.9355
Epoch 68, Score -13.0000, Loss 0.1034, Time 0.9391
Epoch 69, Score -15.0000, Loss 0.0978, Time 0.9342
Epoch 70, Score -18.0000, Loss 0.0880, Time 0.9323
Epoch 71, Score -20.0000, Loss 0.0806, Time 0.9367
Epoch 72, Score 0.0000, Loss 0.0859, Time 0.9615
