Using GPU for training.
Epoch 0, Score -1.0000, Loss 6.0225, Time 0.4348
Epoch 1, Score -3.0000, Loss 0.6107, Time 0.6061
Epoch 2, Score -5.0000, Loss 0.3140, Time 0.6080
Epoch 3, Score -7.0000, Loss 0.2299, Time 0.6110
Epoch 4, Score -8.0000, Loss 0.4417, Time 0.6282
Epoch 5, Score -10.0000, Loss 0.2665, Time 0.6197
Epoch 6, Score -12.0000, Loss 0.2117, Time 0.6173
Epoch 7, Score -14.0000, Loss 0.1965, Time 0.6167
Epoch 8, Score -17.0000, Loss 0.1957, Time 0.6207
Epoch 9, Score -18.0000, Loss 0.2214, Time 0.6274
Epoch 10, Score -20.0000, Loss 0.2035, Time 0.6202
Epoch 11, Score 0.0000, Loss 1.3835, Time 0.6398
Epoch 12, Score 0.0000, Loss 1.1314, Time 0.6286
Epoch 13, Score -2.0000, Loss 0.9740, Time 0.6450
Epoch 14, Score -4.0000, Loss 0.7502, Time 0.6305
Epoch 15, Score -3.0000, Loss 0.5988, Time 0.6369
Epoch 16, Score -4.0000, Loss 0.6508, Time 0.6393
Epoch 17, Score -5.0000, Loss 0.6667, Time 0.6431
Epoch 18, Score -6.0000, Loss 0.4433, Time 0.6448
Epoch 19, Score -7.0000, Loss 0.3765, Time 0.6389
Epoch 20, Score -8.0000, Loss 0.3758, Time 0.6500
Epoch 21, Score -10.0000, Loss 0.2442, Time 0.6507
Epoch 22, Score -12.0000, Loss 0.2925, Time 0.6476
Epoch 23, Score -13.0000, Loss 0.1879, Time 0.6501
Epoch 24, Score -15.0000, Loss 0.3390, Time 0.6538
Epoch 25, Score -17.0000, Loss 0.4970, Time 0.6559
Epoch 26, Score 0.0000, Loss 0.5403, Time 0.6763
Epoch 27, Score -2.0000, Loss 0.7509, Time 0.6676
Epoch 28, Score -3.0000, Loss 0.7831, Time 0.6620
Epoch 29, Score -4.0000, Loss 0.4738, Time 0.6591
Epoch 30, Score -6.0000, Loss 0.3445, Time 0.6666
Epoch 31, Score -7.0000, Loss 0.2968, Time 0.6673
Epoch 32, Score -8.0000, Loss 0.3516, Time 0.6667
Epoch 33, Score -9.0000, Loss 0.1912, Time 0.6716
Epoch 34, Score -11.0000, Loss 0.2365, Time 0.6705
Epoch 35, Score -13.0000, Loss 0.2068, Time 0.6745
Epoch 36, Score -15.0000, Loss 0.2251, Time 0.6859
Epoch 37, Score -17.0000, Loss 0.2383, Time 0.6777
Epoch 38, Score -16.0000, Loss 0.2690, Time 0.6858
Epoch 39, Score -15.0000, Loss 0.1822, Time 0.6841
Epoch 40, Score -17.0000, Loss 0.1530, Time 0.6936
Epoch 41, Score -18.0000, Loss 0.1461, Time 0.6931
Epoch 42, Score 0.0000, Loss 0.4307, Time 0.7134
Epoch 43, Score -1.0000, Loss 0.5606, Time 0.6975
Epoch 44, Score -4.0000, Loss 0.5228, Time 0.6979
Epoch 45, Score -6.0000, Loss 0.5618, Time 0.6975
Epoch 46, Score -8.0000, Loss 0.5402, Time 0.6994
Epoch 47, Score -10.0000, Loss 0.3718, Time 0.7088
Epoch 48, Score -12.0000, Loss 0.3958, Time 0.7069
Epoch 49, Score -14.0000, Loss 0.4180, Time 0.7065
Epoch 50, Score -16.0000, Loss 0.2381, Time 0.7265
Epoch 51, Score -18.0000, Loss 0.2189, Time 0.7093
Epoch 52, Score -17.0000, Loss 0.2000, Time 0.7120
Epoch 53, Score 0.0000, Loss 0.2438, Time 0.7328
Epoch 54, Score 0.0000, Loss 0.6587, Time 0.7185
Epoch 55, Score 1.0000, Loss 0.5665, Time 0.7187
Epoch 56, Score -1.0000, Loss 0.6358, Time 0.7270
Epoch 57, Score -4.0000, Loss 0.5278, Time 0.7249
Epoch 58, Score -6.0000, Loss 0.5567, Time 0.7289
Epoch 59, Score -8.0000, Loss 0.6774, Time 0.7361
Epoch 60, Score -10.0000, Loss 0.6864, Time 0.7353
Epoch 61, Score -12.0000, Loss 0.5357, Time 0.7338
Epoch 62, Score -14.0000, Loss 0.5482, Time 0.7383
Epoch 63, Score -17.0000, Loss 0.5661, Time 0.7409
Epoch 64, Score -18.0000, Loss 0.4797, Time 0.7439
Epoch 65, Score 0.0000, Loss 0.6323, Time 0.7544
Epoch 66, Score -1.0000, Loss 0.5957, Time 0.7445
Epoch 67, Score -3.0000, Loss 0.6373, Time 0.7547
Epoch 68, Score -5.0000, Loss 0.6189, Time 0.7653
Epoch 69, Score -5.0000, Loss 0.4181, Time 0.7610
Epoch 70, Score -7.0000, Loss 0.4966, Time 0.7593
Epoch 71, Score -10.0000, Loss 0.4500, Time 0.7652
Epoch 72, Score -12.0000, Loss 0.3219, Time 0.7669
Epoch 73, Score -14.0000, Loss 0.2931, Time 0.7669
Epoch 74, Score -15.0000, Loss 0.2404, Time 0.7728
Epoch 75, Score -17.0000, Loss 0.6916, Time 0.7742
Epoch 76, Score -19.0000, Loss 0.4723, Time 0.7735
Epoch 77, Score 0.0000, Loss 0.3992, Time 0.7993
Epoch 78, Score -1.0000, Loss 0.3608, Time 0.7889
Epoch 79, Score -2.0000, Loss 0.4065, Time 0.7804
Epoch 80, Score -4.0000, Loss 0.3382, Time 0.7906
Epoch 81, Score -6.0000, Loss 0.5760, Time 0.7908
Epoch 82, Score -8.0000, Loss 0.3560, Time 0.7979
Epoch 83, Score -10.0000, Loss 0.3111, Time 0.7895
