Using GPU for training.
Epoch 0, Score 0.0000, Loss 1278.5444, Time 0.5505
Epoch 1, Score 1.0000, Loss 1407.6027, Time 0.7662
Epoch 2, Score 0.0000, Loss 1571.7468, Time 0.7919
Epoch 3, Score 0.0000, Loss 1505.9052, Time 0.7849
Epoch 4, Score 0.0000, Loss 1516.0547, Time 0.8046
Epoch 5, Score 0.0000, Loss 1523.1814, Time 0.7800
Epoch 6, Score 0.0000, Loss 1555.3035, Time 0.8021
Epoch 7, Score 0.0000, Loss 1534.6189, Time 0.7859
Epoch 8, Score 0.0000, Loss 1528.0397, Time 0.8106
Epoch 9, Score 2.0000, Loss 1474.1360, Time 0.7974
Epoch 10, Score 2.0000, Loss 328.1581, Time 0.7962
Epoch 11, Score 0.0000, Loss 321.4187, Time 0.8248
Epoch 12, Score 1.0000, Loss 329.6379, Time 0.8109
Epoch 13, Score 1.0000, Loss 331.7408, Time 0.8345
Epoch 14, Score 1.0000, Loss 331.9914, Time 0.8135
Epoch 15, Score 0.0000, Loss 326.8780, Time 0.8329
Epoch 16, Score 1.0000, Loss 331.0684, Time 0.8170
Epoch 17, Score 2.0000, Loss 330.6830, Time 0.8190
Epoch 18, Score 0.0000, Loss 330.5276, Time 0.8385
Epoch 19, Score 0.0000, Loss 338.8413, Time 0.8276
Epoch 20, Score 0.0000, Loss 68.5023, Time 0.8462
Epoch 21, Score 0.0000, Loss 65.2098, Time 0.8366
Epoch 22, Score 1.0000, Loss 66.6263, Time 0.8574
Epoch 23, Score 2.0000, Loss 67.1290, Time 0.8421
Epoch 24, Score 0.0000, Loss 69.2451, Time 0.8596
Epoch 25, Score 0.0000, Loss 66.9745, Time 0.8417
Epoch 26, Score 1.0000, Loss 68.6243, Time 0.8494
Epoch 27, Score 0.0000, Loss 69.7870, Time 0.8722
Epoch 28, Score 1.0000, Loss 69.3740, Time 0.8514
Epoch 29, Score 1.0000, Loss 68.3145, Time 0.8482
Epoch 30, Score 3.0000, Loss 13.2228, Time 0.8671
Epoch 31, Score 0.0000, Loss 12.0784, Time 0.8936
Epoch 32, Score 0.0000, Loss 12.4861, Time 0.8806
Epoch 33, Score 0.0000, Loss 12.4078, Time 0.8754
Epoch 34, Score 1.0000, Loss 12.8582, Time 0.8725
Epoch 35, Score 0.0000, Loss 13.0394, Time 0.8957
Epoch 36, Score 0.0000, Loss 13.1372, Time 0.8735
Epoch 37, Score 1.0000, Loss 13.2635, Time 0.9025
Epoch 38, Score 2.0000, Loss 13.1326, Time 0.8785
Epoch 39, Score 2.0000, Loss 13.4534, Time 0.8869
Epoch 40, Score 4.0000, Loss 2.8386, Time 0.9012
Epoch 41, Score 0.0000, Loss 2.5609, Time 0.9098
Epoch 42, Score 0.0000, Loss 2.6865, Time 0.9185
Epoch 43, Score 0.0000, Loss 2.7322, Time 0.8993
Epoch 44, Score 1.0000, Loss 2.6990, Time 0.9081
Epoch 45, Score 0.0000, Loss 2.7165, Time 0.9269
Epoch 46, Score 0.0000, Loss 2.7595, Time 0.9097
Epoch 47, Score 0.0000, Loss 2.7720, Time 0.9279
