Using GPU for training.
Epoch 0, Score 1.0000, Loss 0.5304, Time 0.3784
Epoch 1, Score 4.0000, Loss 0.0244, Time 0.4522
Epoch 2, Score 16.0000, Loss 0.0031, Time 0.4481
Epoch 3, Score 59.0000, Loss 0.0022, Time 0.4392
Epoch 4, Score 10.0000, Loss 0.0023, Time 0.4603
Epoch 5, Score 14.0000, Loss 0.0019, Time 0.4413
Epoch 6, Score 2.0000, Loss 0.0018, Time 0.4642
Epoch 7, Score 23.0000, Loss 0.0018, Time 0.4594
Epoch 8, Score 11.0000, Loss 0.0016, Time 0.4687
Epoch 9, Score 20.0000, Loss 0.0016, Time 0.4596
Epoch 10, Score 5.0000, Loss 0.0594, Time 0.4648
Epoch 11, Score 11.0000, Loss 0.0465, Time 0.4644
Epoch 12, Score 0.0000, Loss 0.0388, Time 0.4552
Epoch 13, Score 18.0000, Loss 0.0354, Time 0.4561
Epoch 14, Score 50.0000, Loss 0.0343, Time 0.4690
Epoch 15, Score 17.0000, Loss 0.0335, Time 0.4642
Epoch 16, Score 3.0000, Loss 0.0311, Time 0.4755
Epoch 17, Score 1.0000, Loss 0.0282, Time 0.4837
Epoch 18, Score 21.0000, Loss 0.0277, Time 0.4805
Epoch 19, Score 37.0000, Loss 0.0274, Time 0.4654
Epoch 20, Score 42.0000, Loss 0.0972, Time 0.4863
Epoch 21, Score 5.0000, Loss 0.0751, Time 0.4874
Epoch 22, Score 16.0000, Loss 0.0675, Time 0.5013
Epoch 23, Score 1.0000, Loss 0.0749, Time 0.4982
Epoch 24, Score 14.0000, Loss 0.0599, Time 0.5048
Epoch 25, Score 31.0000, Loss 0.0668, Time 0.5093
Epoch 26, Score 49.0000, Loss 0.0570, Time 0.5046
Epoch 27, Score 10.0000, Loss 0.0543, Time 0.5019
Epoch 28, Score 24.0000, Loss 0.0523, Time 0.4922
Epoch 29, Score 16.0000, Loss 0.0557, Time 0.5086
Epoch 30, Score 3.0000, Loss 0.0928, Time 0.5063
Epoch 31, Score 42.0000, Loss 0.0691, Time 0.5125
Epoch 32, Score 7.0000, Loss 0.0733, Time 0.5214
Epoch 33, Score 22.0000, Loss 0.0689, Time 0.5221
Epoch 34, Score 66.0000, Loss 0.0636, Time 0.5203
Epoch 35, Score 56.0000, Loss 0.0722, Time 0.5270
Epoch 36, Score 50.0000, Loss 0.0680, Time 0.5173
Epoch 37, Score 26.0000, Loss 0.0618, Time 0.5144
Epoch 38, Score 58.0000, Loss 0.0624, Time 0.5351
Epoch 39, Score 41.0000, Loss 0.0587, Time 0.5241
Epoch 40, Score 141.0000, Loss 0.0975, Time 0.5191
Epoch 41, Score 42.0000, Loss 0.0867, Time 0.5350
Epoch 42, Score 142.0000, Loss 0.0842, Time 0.5293
Epoch 43, Score 67.0000, Loss 0.0853, Time 0.5339
Epoch 44, Score 167.0000, Loss 0.0794, Time 0.5342
Epoch 45, Score 96.0000, Loss 0.0705, Time 0.5452
Epoch 46, Score 57.0000, Loss 0.0697, Time 0.5530
Epoch 47, Score 157.0000, Loss 0.0579, Time 0.5511
Epoch 48, Score 56.0000, Loss 0.0599, Time 0.5636
Epoch 49, Score 16.0000, Loss 0.0577, Time 0.5508
Epoch 50, Score 6.0000, Loss 0.1229, Time 0.5574
Epoch 51, Score 106.0000, Loss 0.0876, Time 0.5514
Epoch 52, Score 92.0000, Loss 0.1006, Time 0.5667
Epoch 53, Score 2.0000, Loss 0.0980, Time 0.5570
Epoch 54, Score 102.0000, Loss 0.0906, Time 0.5520
Epoch 55, Score 23.0000, Loss 0.0810, Time 0.5652
Epoch 56, Score 123.0000, Loss 0.0801, Time 0.5654
Epoch 57, Score 73.0000, Loss 0.0763, Time 0.5630
Epoch 58, Score 48.0000, Loss 0.0717, Time 0.5653
Epoch 59, Score 70.0000, Loss 0.0823, Time 0.5677
Epoch 60, Score 23.0000, Loss 0.1384, Time 0.5741
Epoch 61, Score 58.0000, Loss 0.1337, Time 0.5856
Epoch 62, Score 26.0000, Loss 0.1362, Time 0.5911
Epoch 63, Score 126.0000, Loss 0.1140, Time 0.5870
Epoch 64, Score 73.0000, Loss 0.1232, Time 0.5891
Epoch 65, Score 34.0000, Loss 0.1196, Time 0.5836
Epoch 66, Score 134.0000, Loss 0.1260, Time 0.5827
Epoch 67, Score 76.0000, Loss 0.1135, Time 0.5862
Epoch 68, Score 33.0000, Loss 0.1043, Time 0.6094
Epoch 69, Score 133.0000, Loss 0.1248, Time 0.6061
Epoch 70, Score 91.0000, Loss 0.2044, Time 0.6033
Epoch 71, Score 30.0000, Loss 0.1555, Time 0.6134
Epoch 72, Score 130.0000, Loss 0.1419, Time 0.6068
Epoch 73, Score 95.0000, Loss 0.1507, Time 0.6195
Epoch 74, Score 56.0000, Loss 0.1651, Time 0.6191
Epoch 75, Score 23.0000, Loss 0.1707, Time 0.6080
Epoch 76, Score 123.0000, Loss 0.1667, Time 0.6169
Epoch 77, Score 81.0000, Loss 0.1779, Time 0.6296
Epoch 78, Score 40.0000, Loss 0.1676, Time 0.6376
Epoch 79, Score 3.0000, Loss 0.1730, Time 0.6344
Epoch 80, Score 103.0000, Loss 0.2411, Time 0.6353
Epoch 81, Score 62.0000, Loss 0.2095, Time 0.6394
Epoch 82, Score 12.0000, Loss 0.1867, Time 0.6446
Epoch 83, Score 112.0000, Loss 0.1784, Time 0.6429
Epoch 84, Score 60.0000, Loss 0.2051, Time 0.6398
Epoch 85, Score 10.0000, Loss 0.1850, Time 0.6360
Epoch 86, Score 8.0000, Loss 0.2017, Time 0.6348
Epoch 87, Score 108.0000, Loss 0.1922, Time 0.6483
Epoch 88, Score 48.0000, Loss 0.1696, Time 0.6602
Epoch 89, Score 148.0000, Loss 0.1914, Time 0.6418
Epoch 90, Score 83.0000, Loss 0.2354, Time 0.6473
Epoch 91, Score 39.0000, Loss 0.2071, Time 0.6497
Epoch 92, Score 6.0000, Loss 0.1992, Time 0.6555
Epoch 93, Score 106.0000, Loss 0.1966, Time 0.6681
Epoch 94, Score 62.0000, Loss 0.2179, Time 0.6755
Epoch 95, Score 33.0000, Loss 0.2083, Time 0.6676
Epoch 96, Score 13.0000, Loss 0.1916, Time 0.6664
Epoch 97, Score 113.0000, Loss 0.1813, Time 0.6820
Epoch 98, Score 90.0000, Loss 0.2285, Time 0.6709
Epoch 99, Score 40.0000, Loss 0.1683, Time 0.6720
