Epoch 0, Loss 158.7327, TD-Loss 25.0979, NTD-Loss 132.8691, Margin Loss 0.7644, L2 Loss 0.0012
Epoch 1, Loss 121.6433, TD-Loss 10.0187, NTD-Loss 110.6530, Margin Loss 0.9705, L2 Loss 0.0012
Epoch 2, Loss 106.7459, TD-Loss 13.2353, NTD-Loss 91.7636, Margin Loss 1.7458, L2 Loss 0.0012
Epoch 3, Loss 118.4809, TD-Loss 17.0132, NTD-Loss 99.1693, Margin Loss 2.2971, L2 Loss 0.0012
Epoch 4, Loss 66.8658, TD-Loss 7.0902, NTD-Loss 56.6116, Margin Loss 3.1627, L2 Loss 0.0013
Epoch 5, Loss 124.9552, TD-Loss 25.6240, NTD-Loss 96.0842, Margin Loss 3.2457, L2 Loss 0.0013
Epoch 6, Loss 103.5999, TD-Loss 32.2628, NTD-Loss 65.4572, Margin Loss 5.8785, L2 Loss 0.0013
Epoch 7, Loss 95.5640, TD-Loss 31.9340, NTD-Loss 57.0564, Margin Loss 6.5722, L2 Loss 0.0013
Epoch 8, Loss 80.0790, TD-Loss 29.4173, NTD-Loss 44.8366, Margin Loss 5.8238, L2 Loss 0.0013
Epoch 9, Loss 89.8873, TD-Loss 31.0074, NTD-Loss 51.8877, Margin Loss 6.9908, L2 Loss 0.0013
Epoch 10, Loss 88.4722, TD-Loss 37.4368, NTD-Loss 46.4296, Margin Loss 4.6045, L2 Loss 0.0013
Epoch 11, Loss 99.2437, TD-Loss 45.2268, NTD-Loss 47.4321, Margin Loss 6.5835, L2 Loss 0.0013
Epoch 12, Loss 67.8800, TD-Loss 26.2363, NTD-Loss 35.6669, Margin Loss 5.9755, L2 Loss 0.0013
Epoch 13, Loss 75.5356, TD-Loss 36.1005, NTD-Loss 33.5311, Margin Loss 5.9027, L2 Loss 0.0014
Epoch 14, Loss 67.9982, TD-Loss 30.8697, NTD-Loss 30.2028, Margin Loss 6.9243, L2 Loss 0.0014
Epoch 15, Loss 75.7706, TD-Loss 32.0223, NTD-Loss 38.4088, Margin Loss 5.3381, L2 Loss 0.0014
Epoch 16, Loss 73.7746, TD-Loss 30.4432, NTD-Loss 37.4330, Margin Loss 5.8970, L2 Loss 0.0014
Epoch 17, Loss 73.5747, TD-Loss 32.8653, NTD-Loss 36.1859, Margin Loss 4.5221, L2 Loss 0.0014
Epoch 18, Loss 62.5956, TD-Loss 24.9713, NTD-Loss 31.8051, Margin Loss 5.8178, L2 Loss 0.0014
Epoch 19, Loss 82.4074, TD-Loss 36.0582, NTD-Loss 41.9269, Margin Loss 4.4210, L2 Loss 0.0014
Epoch 20, Loss 62.8877, TD-Loss 30.7030, NTD-Loss 29.0885, Margin Loss 3.0949, L2 Loss 0.0014
Epoch 21, Loss 64.3586, TD-Loss 29.2719, NTD-Loss 30.4765, Margin Loss 4.6087, L2 Loss 0.0014
Epoch 22, Loss 66.4810, TD-Loss 31.0369, NTD-Loss 30.4816, Margin Loss 4.9612, L2 Loss 0.0014
Epoch 23, Loss 84.1232, TD-Loss 38.0348, NTD-Loss 40.4952, Margin Loss 5.5918, L2 Loss 0.0014
Epoch 24, Loss 80.0448, TD-Loss 37.6647, NTD-Loss 37.4115, Margin Loss 4.9672, L2 Loss 0.0014
Epoch 25, Loss 77.2813, TD-Loss 34.9355, NTD-Loss 38.2066, Margin Loss 4.1379, L2 Loss 0.0014
Epoch 26, Loss 57.5772, TD-Loss 26.0226, NTD-Loss 26.6603, Margin Loss 4.8929, L2 Loss 0.0014
Epoch 27, Loss 83.6463, TD-Loss 38.3256, NTD-Loss 40.6262, Margin Loss 4.6931, L2 Loss 0.0014
Epoch 28, Loss 60.7242, TD-Loss 26.5779, NTD-Loss 30.1389, Margin Loss 4.0060, L2 Loss 0.0014
