Epoch 0, Loss 118.7065, TD-Loss 6.5740, NTD-Loss 107.1811, Margin Loss 4.9501, L2 Loss 0.0012
Epoch 1, Loss 129.7478, TD-Loss 7.1021, NTD-Loss 118.9628, Margin Loss 3.6817, L2 Loss 0.0012
Epoch 2, Loss 142.4484, TD-Loss 19.9913, NTD-Loss 118.3258, Margin Loss 4.1301, L2 Loss 0.0012
Epoch 3, Loss 147.3496, TD-Loss 32.6011, NTD-Loss 106.9268, Margin Loss 7.8205, L2 Loss 0.0012
Epoch 4, Loss 126.0709, TD-Loss 17.6239, NTD-Loss 102.8708, Margin Loss 5.5749, L2 Loss 0.0012
Epoch 5, Loss 131.8273, TD-Loss 20.7036, NTD-Loss 101.1264, Margin Loss 9.9960, L2 Loss 0.0012
Epoch 6, Loss 123.9528, TD-Loss 32.7187, NTD-Loss 82.3646, Margin Loss 8.8683, L2 Loss 0.0012
Epoch 7, Loss 124.6378, TD-Loss 37.5304, NTD-Loss 76.2405, Margin Loss 10.8656, L2 Loss 0.0013
Epoch 8, Loss 117.7580, TD-Loss 32.4877, NTD-Loss 71.3031, Margin Loss 13.9660, L2 Loss 0.0013
Epoch 9, Loss 85.5040, TD-Loss 26.4469, NTD-Loss 48.6772, Margin Loss 10.3785, L2 Loss 0.0013
Epoch 10, Loss 102.7454, TD-Loss 39.5772, NTD-Loss 55.7758, Margin Loss 7.3911, L2 Loss 0.0013
Epoch 11, Loss 83.3718, TD-Loss 30.6582, NTD-Loss 44.6549, Margin Loss 8.0574, L2 Loss 0.0013
Epoch 12, Loss 97.2895, TD-Loss 32.6940, NTD-Loss 53.4091, Margin Loss 11.1852, L2 Loss 0.0013
Epoch 13, Loss 79.6350, TD-Loss 24.6582, NTD-Loss 44.6478, Margin Loss 10.3277, L2 Loss 0.0013
Epoch 14, Loss 87.1074, TD-Loss 32.7387, NTD-Loss 45.5225, Margin Loss 8.8449, L2 Loss 0.0013
Epoch 15, Loss 69.0867, TD-Loss 21.3626, NTD-Loss 39.3696, Margin Loss 8.3532, L2 Loss 0.0013
Epoch 16, Loss 82.5595, TD-Loss 32.5430, NTD-Loss 40.1847, Margin Loss 9.8306, L2 Loss 0.0013
Epoch 17, Loss 96.1540, TD-Loss 31.8356, NTD-Loss 55.0998, Margin Loss 9.2173, L2 Loss 0.0013
Epoch 18, Loss 81.8101, TD-Loss 24.5387, NTD-Loss 46.1978, Margin Loss 11.0723, L2 Loss 0.0013
Epoch 19, Loss 94.0170, TD-Loss 42.2073, NTD-Loss 50.3187, Margin Loss 1.4897, L2 Loss 0.0013
Epoch 20, Loss 84.7960, TD-Loss 31.2554, NTD-Loss 47.3583, Margin Loss 6.1809, L2 Loss 0.0013
Epoch 21, Loss 84.6460, TD-Loss 37.8215, NTD-Loss 37.9419, Margin Loss 8.8812, L2 Loss 0.0013
Epoch 22, Loss 73.6120, TD-Loss 30.4993, NTD-Loss 35.3343, Margin Loss 7.7771, L2 Loss 0.0013
Epoch 23, Loss 74.8932, TD-Loss 34.4145, NTD-Loss 41.1795, Margin Loss -0.7021, L2 Loss 0.0013
Epoch 24, Loss 78.1604, TD-Loss 33.2669, NTD-Loss 35.5228, Margin Loss 9.3694, L2 Loss 0.0013
Epoch 25, Loss 59.6343, TD-Loss 23.8002, NTD-Loss 30.5477, Margin Loss 5.2850, L2 Loss 0.0013
Epoch 26, Loss 76.9771, TD-Loss 30.6205, NTD-Loss 35.3100, Margin Loss 11.0453, L2 Loss 0.0013
Epoch 27, Loss 70.5099, TD-Loss 27.9383, NTD-Loss 35.6020, Margin Loss 6.9683, L2 Loss 0.0013
Epoch 28, Loss 63.6257, TD-Loss 31.0973, NTD-Loss 29.4592, Margin Loss 3.0678, L2 Loss 0.0014
Epoch 29, Loss 64.6020, TD-Loss 27.0280, NTD-Loss 33.6510, Margin Loss 3.9217, L2 Loss 0.0014
